category,area,avg_price,score,main_scene,business_hours,dish_feature
本地小吃,双峰县,14,3.7,小吃,11:30-15:00,甜酒冲蛋
烤鱼店,冷水江市,56,4.7,周末聚餐,11:30-15:00,泡椒烤鱼
粥,娄星区,6,4.3,学生早餐,06:30-10:30,黑米粥
新化菜,新化县,39,4.6,周末聚餐,10:30-21:30,三合汤
正餐米粉店,娄星区,15,4.1,学生用餐,09:30-22:30,牛肉粉
中式快餐,新化县,20,4.7,外卖,10:00-22:00,小炒黄牛肉
烤鱼店,冷水江市,50,4.0,周末聚餐,17:00-23:00,泡椒烤鱼
东南亚菜,双峰县,56,3.6,周末聚餐,17:00-22:00,咖喱鸡
自助餐厅,涟源市,60,3.8,周末聚餐,07:00-11:00,海鲜自助
烤鱼店,新化县,71,4.4,周末聚餐,12:00-14:30,蒜香烤鱼
湘菜,双峰县,24,4.6,学生午餐,09:30-22:30,辣椒炒肉
新化菜,娄星区,57,4.4,工作日午餐,11:30-15:00,水车鱼冻
烧烤店,娄星区,54,3.7,工作日晚餐,18:00-01:00,烤羊肉串
咖啡馆,涟源市,34,4.2,甜品,11:00-14:00,蛋糕
日韩料理,娄星区,89,4.7,周末聚餐,11:30-15:00,刺身
粥,娄星区,12,4.4,学生早餐,07:00-11:00,皮蛋瘦肉粥
面馆,新化县,25,4.2,工作日午餐,11:00-14:00,拉面
甜品店,双峰县,44,3.9,甜品,17:30-22:30,布丁
快餐连锁,冷水江市,25,3.8,学生晚餐,17:30-22:30,汉堡
咖啡馆,涟源市,33,4.5,甜品,10:00-22:00,三明治
咖啡馆,新化县,28,4.4,甜品,09:30-22:30,拿铁
东南亚菜,娄星区,50,3.9,周末聚餐,10:30-21:30,冬阴功汤
正餐米粉店,娄星区,21,4.7,工作日午餐,11:00-14:00,新化粗粉
湘式快餐,冷水江市,35,3.6,工作日晚餐,16:00-21:00,盖浇饭
面馆,双峰县,15,3.9,学生晚餐,19:00-22:00,拉面
正餐米粉店,娄星区,21,4.6,工作日午餐,11:00-14:00,炒粉
烤鱼店,新化县,50,3.8,周末午餐,11:30-15:00,蒜香烤鱼
粥,娄星区,6,4.6,学生早餐,06:00-10:00,小米粥
正餐米粉店,双峰县,18,4.4,学生用餐,10:30-21:30,牛肉粉
本地小吃,双峰县,12,4.4,小吃,10:00-22:00,甜酒冲蛋
咖啡馆,娄星区,22,4.7,情侣约会,10:00-22:00,卡布奇诺
自助餐厅,新化县,60,3.6,周末聚餐,09:30-22:30,烤肉自助
湘式快餐,娄星区,35,4.6,工作日午餐,10:00-22:00,酸辣土豆丝
日韩料理,娄星区,59,4.6,周末聚餐,06:00-10:00,寿司
海鲜餐厅,冷水江市,66,3.6,下午茶,13:30-17:30,椒盐虾
甜品店,娄星区,50,4.2,周末早餐,06:30-10:30,冰淇淋
中式快餐,涟源市,30,4.2,外卖,09:30-22:30,炒饭
炸串小吃,冷水江市,54,3.5,学生夜宵,19:00-00:00,炸土豆
面馆,娄星区,35,4.3,周末午餐,11:00-14:00,牛肉面
烧烤店,新化县,55,3.8,朋友聚会,17:30-22:30,烤鸡翅
海鲜餐厅,冷水江市,95,4.5,下午茶,13:30-17:30,蒜蓉粉丝扇贝
本地小吃,双峰县,15,4.8,工作日午餐,11:30-15:00,糖油粑粑
快餐连锁,娄星区,40,4.6,下午茶,14:00-17:00,汉堡
特色主题餐厅,冷水江市,44,3.8,学生夜宵,19:00-00:00,土家族合渣
粥,娄星区,12,4.5,学生早餐,07:00-11:00,白粥
海鲜餐厅,冷水江市,80,4.3,学生夜宵,19:00-00:00,蒜蓉粉丝扇贝
烤鱼店,双峰县,97,4.7,商务聚餐,16:00-23:00,酸菜烤鱼
小龙虾店,新化县,70,4.4,情侣约会,17:00-01:00,椒盐小龙虾
中式快餐,冷水江市,30,4.0,情侣约会,10:00-22:00,炒菜
日韩料理,新化县,61,3.8,学生早餐,07:00-11:00,烤肉
东南亚菜,娄星区,50,3.9,学生夜宵,18:00-02:00,菠萝饭
快餐连锁,娄星区,40,3.7,工作日晚餐,18:00-23:00,可乐
火锅烤肉,娄星区,63,4.4,周末聚餐,10:00-22:00,鸳鸯火锅
东南亚菜,冷水江市,65,4.6,学生夜宵,19:00-00:00,沙爹
中式快餐,新化县,30,3.9,周末午餐,11:00-14:00,米饭套餐
湘式快餐,娄星区,35,4.4,商务聚餐,10:00-22:00,青菜
甜品店,娄星区,50,3.8,家庭聚餐,10:30-21:30,冰淇淋
东南亚菜,新化县,79,4.4,夜宵,19:00-00:00,沙爹
火锅烤肉,新化县,79,4.3,夜宵,19:00-00:00,麻辣火锅
面馆,冷水江市,35,4.2,朋友聚会,10:00-22:00,拉面
中式快餐,娄星区,30,3.9,家庭聚餐,10:30-21:30,面条
正餐米粉店,娄星区,65,4.2,学生用餐,10:00-22:00,炒粉
自助餐厅,新化县,62,4.6,亲子聚餐,10:00-22:00,火锅自助
中式快餐,娄星区,30,4.4,外卖,09:30-22:30,米饭套餐
包子,娄星区,15,3.6,工作日早餐,07:00-11:00,豆沙包
正餐米粉店,娄星区,33,4.5,工作日午餐,11:30-15:00,炒粉
特色主题餐厅,双峰县,40,3.6,户外用餐,10:30-21:30,湘西土匪鸭
正餐米粉店,娄星区,54,4.5,工作日午餐,11:30-15:00,牛肉粉
日韩料理,娄星区,50,4.6,情侣约会,09:30-22:30,寿司
小龙虾店,冷水江市,60,3.9,外卖,16:00-02:00,清蒸小龙虾
日韩料理,涟源市,51,3.5,情侣约会,10:00-22:00,寿司
烤鱼店,娄星区,50,3.8,商务宴请,16:00-23:00,蒜香烤鱼
早餐米粉店,娄星区,15,4.6,学生早餐,07:00-11:00,猪油拌粉
小龙虾店,娄星区,64,4.7,夜宵,18:00-02:00,清蒸小龙虾
快餐连锁,娄星区,40,4.6,学生午餐,11:00-14:00,薯条
烧烤店,双峰县,100,4.4,节日聚餐,17:00-02:00,烤羊肉串
小龙虾店,新化县,61,4.2,周末晚餐,17:00-01:00,蒜蓉小龙虾
早餐米粉店,新化县,17,4.7,工作日早餐,06:00-10:00,肉丝粉
小龙虾店,娄星区,60,4.6,工作日午餐,12:00-14:30,十三香小龙虾
火锅烤肉,新化县,139,4.5,周末聚餐,09:30-22:30,清汤火锅
西餐厅,娄星区,82,4.1,周末早餐,06:00-10:00,意面
炸串小吃,冷水江市,52,3.6,学生夜宵,19:00-00:00,炸香蕉
日韩料理,娄星区,65,4.5,学生夜宵,19:00-00:00,刺身
本地小吃,双峰县,24,3.6,学生用餐,10:30-21:30,糖油粑粑
日韩料理,双峰县,66,4.6,周末午餐,11:30-15:00,刺身
快餐连锁,涟源市,40,3.7,情侣约会,10:00-22:00,薯条
中式快餐,新化县,30,3.9,家庭聚餐,10:30-21:30,面条
自助餐厅,新化县,155,4.6,学生午餐,12:00-14:30,火锅自助
东南亚菜,娄星区,50,3.8,夜宵,20:00-01:00,青木瓜沙拉
东南亚菜,涟源市,92,4.7,周末早餐,07:00-11:00,沙爹
新化菜,娄星区,53,4.0,周末聚餐,10:30-21:30,向东街米粉
湘菜,新化县,48,4.6,周末聚餐,10:00-22:00,小炒黄牛肉
日韩料理,涟源市,50,3.9,家庭聚餐,10:00-22:00,拉面
素食餐厅,冷水江市,49,3.9,学生晚餐,17:00-22:00,蔬菜沙拉
火锅烤肉,娄星区,58,3.5,夜宵,20:00-01:00,麻辣火锅
特色主题餐厅,娄星区,40,4.6,学生早餐,07:00-11:00,怀化芷江鸭
烧烤店,双峰县,45,3.5,商务聚餐,18:00-01:00,烤五花肉
烧烤店,娄星区,100,4.5,节日聚餐,19:00-00:00,烤牛肉串
炸串小吃,娄星区,19,4.1,学生夜宵,20:00-01:00,炸香蕉
湘式快餐,娄星区,35,4.2,下午茶,13:30-17:30,盖浇饭
包子,娄星区,15,3.6,工作日早餐,06:30-10:30,豆沙包
粥,娄星区,12,4.4,学生早餐,07:00-11:00,南瓜粥
小龙虾店,新化县,78,4.6,学生晚餐,18:00-01:00,麻辣小龙虾
东南亚菜,双峰县,53,4.0,下午茶,14:00-17:00,菠萝饭
本地小吃,双峰县,28,3.7,工作日午餐,11:30-15:00,刮凉粉
西餐厅,新化县,60,4.8,商务宴请,10:30-21:30,披萨
西餐厅,双峰县,60,4.6,工作日晚餐,17:00-22:00,烤羊排
特色主题餐厅,双峰县,40,3.7,学生夜宵,19:00-00:00,竹筒饭
本地小吃,双峰县,15,3.8,学生用餐,10:30-21:30,糖油粑粑
西餐厅,娄星区,81,4.7,学生晚餐,17:00-22:00,烤羊排
小龙虾店,新化县,60,4.7,学生晚餐,18:00-00:00,椒盐小龙虾
甜品店,新化县,50,4.2,夜宵,19:00-00:00,奶茶
烤鱼店,冷水江市,119,4.6,下午茶,17:00-22:30,麻辣烤鱼
甜品店,冷水江市,50,4.3,商务宴请,10:30-21:30,蛋糕
小龙虾店,娄星区,60,4.5,工作日晚餐,17:00-01:00,十三香小龙虾
早餐米粉店,娄星区,25,4.1,工作日早餐,06:00-10:00,肉丝粉
快餐连锁,新化县,40,4.3,周末早餐,06:30-10:30,三明治
包子,娄星区,15,4.6,工作日早餐,06:00-10:00,奶黄包
中式快餐,娄星区,30,3.8,节日聚餐,10:30-21:30,面条
面馆,冷水江市,35,4.8,周末晚餐,17:00-22:00,拉面
特色主题餐厅,双峰县,54,3.9,商务宴请,10:30-21:30,怀化芷江鸭
西餐厅,新化县,60,3.9,学生早餐,06:00-10:00,烤羊排
包子,娄星区,15,4.7,工作日早餐,06:00-10:00,奶黄包
小龙虾店,涟源市,60,3.8,户外用餐,16:00-02:00,清蒸小龙虾
包子,娄星区,15,4.4,工作日早餐,07:00-11:00,红糖馒头
快餐连锁,冷水江市,40,4.3,情侣约会,10:30-21:30,可乐
甜品店,新化县,50,4.0,工作日晚餐,17:00-22:00,冰淇淋
中式快餐,娄星区,30,4.0,工作日晚餐,17:00-22:00,炒菜
小龙虾店,娄星区,60,3.9,学生夜宵,18:00-02:00,麻辣小龙虾
新化菜,新化县,75,4.2,早餐,06:00-10:00,新化三合汤
烤鱼店,双峰县,100,4.5,学生午餐,11:30-15:00,麻辣烤鱼
素食餐厅,新化县,60,4.3,学生夜宵,19:00-00:00,素炒时蔬
烧烤店,新化县,68,4.5,夜宵,17:30-22:30,烤鸡翅
早餐米粉店,新化县,19,3.8,工作日早餐,07:00-11:00,肉丝粉
本地小吃,娄星区,26,4.0,学生用餐,09:30-22:30,甜酒冲蛋
包子,娄星区,15,4.8,工作日早餐,06:30-10:30,豆沙包
早餐米粉店,新化县,12,3.9,工作日早餐,06:00-10:00,三鲜粉
自助餐厅,双峰县,60,3.9,户外用餐,10:30-21:30,甜点自助
素食餐厅,新化县,52,4.5,情侣约会,10:30-21:30,素食套餐
粥,娄星区,12,4.6,学生早餐,07:00-11:00,南瓜粥
本地小吃,双峰县,15,3.8,工作日午餐,11:00-14:00,刮凉粉
早餐米粉店,娄星区,22,4.0,工作日早餐,06:00-10:00,猪油拌粉
自助餐厅,双峰县,71,4.3,夜宵,19:00-00:00,甜点自助
正餐米粉店,双峰县,56,3.7,学生用餐,10:30-21:30,牛肉粉
湘菜,娄星区,73,4.3,工作日午餐,11:30-15:00,经典辣椒炒肉
素食餐厅,双峰县,67,4.7,工作日晚餐,17:00-22:00,蔬菜沙拉
火锅烤肉,娄星区,52,3.7,周末聚餐,10:00-22:00,鸳鸯火锅
新化菜,新化县,35,4.6,亲子聚餐,10:00-22:00,向东街米粉
湘式快餐,娄星区,35,3.8,周末晚餐,17:30-22:30,汤
素食餐厅,双峰县,48,4.2,学生夜宵,20:00-01:00,素炒时蔬
东南亚菜,冷水江市,62,4.3,学生午餐,11:30-15:00,沙爹
东南亚菜,新化县,51,3.8,工作日晚餐,17:30-22:30,沙爹
自助餐厅,冷水江市,60,3.7,户外用餐,10:30-21:30,火锅自助
包子,娄星区,15,4.7,工作日早餐,06:30-10:30,鲜肉包
特色主题餐厅,冷水江市,62,4.4,周末午餐,11:30-15:00,苗家酸汤鱼
日韩料理,涟源市,54,4.4,朋友聚会,10:30-21:30,石锅拌饭
咖啡馆,新化县,79,4.1,家庭聚餐,10:30-21:30,拿铁
自助餐厅,双峰县,60,4.2,下午茶,14:00-17:00,中西结合自助
烤鱼店,双峰县,50,3.5,朋友聚会,18:00-22:00,蒜香烤鱼
烤鱼店,新化县,56,3.9,朋友聚会,18:00-22:00,泡椒烤鱼
特色主题餐厅,双峰县,40,3.7,学生早餐,06:00-10:00,邵阳猪血丸子
包子,娄星区,15,3.8,工作日早餐,07:00-11:00,豆沙包
海鲜餐厅,新化县,99,4.4,外卖,10:30-21:30,清蒸鱼
快餐连锁,冷水江市,40,4.8,周末晚餐,17:00-22:00,汉堡
西餐厅,双峰县,82,4.4,夜宵,19:00-00:00,牛排
特色主题餐厅,新化县,40,3.9,情侣约会,10:30-21:30,湘西土匪鸭
本地小吃,娄星区,18,4.3,工作日午餐,11:30-15:00,糖油粑粑
西餐厅,冷水江市,60,3.9,户外用餐,10:30-21:30,牛排
正餐米粉店,双峰县,67,4.3,工作日午餐,11:30-15:00,三鲜粉
包子,娄星区,15,3.7,工作日早餐,06:00-10:00,青菜包
特色主题餐厅,冷水江市,82,4.4,工作日午餐,12:00-14:30,土家腊肉
咖啡馆,冷水江市,34,4.0,家庭聚餐,10:30-21:30,三明治
包子,娄星区,15,4.5,工作日早餐,07:00-11:00,鲜肉包
东南亚菜,冷水江市,50,3.5,家庭聚餐,10:00-22:00,咖喱鸡
新化菜,新化县,53,4.2,工作日午餐,12:00-14:30,新化三合汤
小龙虾店,涟源市,79,4.6,夜宵,18:00-01:00,蒜蓉小龙虾
炸串小吃,冷水江市,28,4.5,夜宵,20:00-01:00,炸里脊肉
烤鱼店,双峰县,59,4.4,朋友聚会,16:00-23:00,酸菜烤鱼
自助餐厅,冷水江市,60,4.6,工作日晚餐,17:30-22:30,海鲜自助
自助餐厅,娄星区,60,4.0,学生早餐,07:00-11:00,烤肉自助
面馆,新化县,35,4.4,学生午餐,11:00-14:00,拉面
本地小吃,娄星区,15,4.0,学生用餐,09:30-22:30,糖油粑粑
咖啡馆,涟源市,36,3.9,朋友聚会,10:30-21:30,拿铁
烧烤店,涟源市,76,4.8,下午茶,19:00-00:00,烤羊肉串
特色主题餐厅,娄星区,62,3.5,周末午餐,11:30-15:00,叫花鸡
咖啡馆,娄星区,25,4.5,商务宴请,10:30-21:30,卡布奇诺
新化菜,新化县,51,3.8,亲子聚餐,09:30-22:30,向东街米粉
炸串小吃,冷水江市,42,4.8,夜宵,20:00-01:00,炸香蕉
湘菜,双峰县,40,4.4,周末聚餐,09:30-22:30,小炒黄牛肉
素食餐厅,双峰县,48,4.7,夜宵,19:00-00:00,豆腐煲
东南亚菜,双峰县,50,4.1,学生早餐,07:00-11:00,沙爹
日韩料理,涟源市,58,4.4,商务宴请,10:30-21:30,刺身
粥,娄星区,12,4.4,学生早餐,06:30-10:30,黑米粥
湘菜,娄星区,45,3.9,学生用餐,09:30-22:30,剁椒鱼头
咖啡馆,新化县,70,4.7,外卖,10:30-21:30,拿铁
湘式快餐,娄星区,35,4.4,亲子聚餐,09:30-22:30,盖浇饭
海鲜餐厅,娄星区,80,4.3,商务宴请,09:30-22:30,清蒸鱼
本地小吃,双峰县,20,4.6,学生用餐,10:00-22:00,糖油粑粑
日韩料理,冷水江市,101,4.5,商务聚餐,10:00-22:00,寿司
素食餐厅,娄星区,28,3.8,周末晚餐,17:30-22:30,豆腐煲
火锅烤肉,娄星区,86,4.4,周末聚餐,10:00-22:00,烤生蚝
本地小吃,娄星区,26,4.4,学生用餐,09:30-22:30,糖油粑粑
面馆,冷水江市,35,4.6,周末早餐,06:30-10:30,牛肉面
面馆,新化县,35,4.1,夜宵,20:00-01:00,羊肉面
湘菜,娄星区,64,3.9,学生用餐,10:00-22:00,剁椒鱼头
甜品店,新化县,44,3.8,工作日午餐,11:30-15:00,冰淇淋
正餐米粉店,双峰县,48,3.8,学生用餐,10:00-22:00,排骨粉
新化菜,新化县,59,4.4,早餐,06:00-10:00,向东街米粉
火锅烤肉,新化县,50,3.8,夜宵,18:00-02:00,鸳鸯火锅
新化菜,新化县,61,4.4,早餐,06:30-10:30,白溪豆腐
早餐米粉店,娄星区,13,4.4,工作日早餐,06:00-10:00,牛肉粉
火锅烤肉,娄星区,82,4.3,夜宵,18:00-02:00,烤羊肉串
包子,娄星区,15,3.9,工作日早餐,06:00-10:00,鲜肉包
正餐米粉店,娄星区,58,4.1,工作日午餐,11:00-14:00,三鲜粉
包子,娄星区,15,4.5,工作日早餐,07:00-11:00,青菜包
甜品店,涟源市,50,4.4,亲子聚餐,10:30-21:30,蛋糕
素食餐厅,新化县,48,3.7,情侣约会,09:30-22:30,素食套餐
甜品店,冷水江市,50,4.3,户外用餐,09:30-22:30,布丁
素食餐厅,冷水江市,44,3.8,下午茶,13:30-17:30,素食套餐
湘菜,双峰县,59,4.1,亲子聚餐,10:30-21:30,剁椒鱼头
素食餐厅,娄星区,25,4.0,工作日晚餐,17:00-22:00,素食套餐
自助餐厅,双峰县,60,4.5,学生晚餐,17:30-22:30,中西结合自助
湘式快餐,娄星区,34,4.1,工作日午餐,11:30-15:00,盖浇饭
快餐连锁,娄星区,40,4.6,节日聚餐,10:00-22:00,薯条
素食餐厅,双峰县,44,3.9,工作日午餐,12:00-14:30,素炒时蔬
特色主题餐厅,涟源市,53,3.8,亲子聚餐,10:30-21:30,苗家酸汤鱼
小龙虾店,娄星区,91,4.4,夜宵,18:00-01:00,麻辣小龙虾
粥,娄星区,12,3.8,学生早餐,06:30-10:30,南瓜粥
海鲜餐厅,冷水江市,80,3.6,商务宴请,09:30-22:30,蒜蓉粉丝扇贝
湘式快餐,娄星区,30,4.6,周末晚餐,17:00-22:00,盖浇饭
特色主题餐厅,新化县,79,4.4,工作日早餐,07:00-11:00,怀化芷江鸭
早餐米粉店,娄星区,12,3.6,学生早餐,07:00-11:00,三鲜粉
甜品店,双峰县,50,4.8,学生午餐,11:30-15:00,蛋糕
烤鱼店,冷水江市,50,3.8,周末晚餐,18:00-22:00,蒜香烤鱼
湘菜,娄星区,64,3.5,周末聚餐,10:30-21:30,辣椒炒肉
东南亚菜,冷水江市,51,4.0,亲子聚餐,10:00-22:00,青木瓜沙拉
小龙虾店,冷水江市,60,3.8,周末午餐,11:30-15:00,椒盐小龙虾
早餐米粉店,娄星区,24,3.9,工作日早餐,06:30-10:30,猪油拌粉
火锅烤肉,新化县,143,4.5,周末聚餐,09:30-22:30,烤生蚝
特色主题餐厅,新化县,80,3.5,学生夜宵,19:00-00:00,土家腊肉
烧烤店,冷水江市,53,4.3,学生夜宵,19:00-00:00,烤五花肉
湘菜,冷水江市,82,4.4,商务聚餐,09:30-22:30,双色剁椒鱼头
湘菜,娄星区,86,4.0,商务聚餐,09:30-22:30,辣椒炒肉
湘菜,双峰县,48,3.9,周末聚餐,09:30-22:30,经典辣椒炒肉
面馆,新化县,35,4.2,商务宴请,10:00-22:00,炸酱面
本地小吃,娄星区,18,3.8,工作日午餐,11:30-15:00,甜酒冲蛋
自助餐厅,双峰县,71,4.4,学生夜宵,18:00-02:00,火锅自助
正餐米粉店,娄星区,38,4.3,工作日午餐,11:30-15:00,炒粉
西餐厅,涟源市,60,4.1,学生早餐,06:30-10:30,烤羊排
火锅烤肉,新化县,60,3.8,夜宵,18:00-02:00,清汤火锅
东南亚菜,双峰县,45,4.6,工作日早餐,07:00-11:00,咖喱鸡
海鲜餐厅,新化县,89,4.3,下午茶,14:00-17:00,椒盐虾
早餐米粉店,新化县,22,4.3,学生早餐,07:00-11:00,牛肉粉
炸串小吃,娄星区,17,4.6,夜宵,19:00-00:00,炸香蕉
烧烤店,涟源市,48,4.6,周末午餐,12:00-14:30,烤五花肉
包子,娄星区,15,4.6,工作日早餐,06:00-10:00,豆沙包
粥,娄星区,12,4.2,学生早餐,06:00-10:00,小米粥
日韩料理,冷水江市,65,4.1,亲子聚餐,10:30-21:30,拉面
自助餐厅,涟源市,60,4.7,工作日早餐,07:00-11:00,烤肉自助
烧烤店,涟源市,56,4.5,家庭聚餐,18:00-01:00,烤鸡翅
粥,娄星区,12,4.2,学生早餐,07:00-11:00,小米粥
咖啡馆,双峰县,46,4.8,周末午餐,12:00-14:30,蛋糕
早餐米粉店,新化县,13,3.8,学生早餐,06:00-10:00,肉片粉
炸串小吃,娄星区,60,4.1,夜宵,19:00-00:00,炸里脊肉
日韩料理,涟源市,107,4.4,商务聚餐,09:30-22:30,石锅拌饭
火锅烤肉,新化县,52,4.5,夜宵,19:00-00:00,鸳鸯火锅
粥,娄星区,12,4.2,学生早餐,06:30-10:30,皮蛋瘦肉粥
海鲜餐厅,冷水江市,80,4.4,学生早餐,06:30-10:30,椒盐虾
新化菜,娄星区,47,4.7,工作日午餐,11:30-15:00,向东街米粉
海鲜餐厅,涟源市,80,3.5,户外用餐,10:00-22:00,清蒸鱼
咖啡馆,冷水江市,55,3.5,工作日早餐,06:30-10:30,美式咖啡
新化菜,娄星区,53,4.4,工作日午餐,12:00-14:30,糁子粑
东南亚菜,冷水江市,53,4.5,朋友聚会,10:30-21:30,咖喱鸡
快餐连锁,新化县,40,4.3,学生午餐,11:30-15:00,炸鸡
甜品店,双峰县,28,4.6,外卖,10:00-22:00,蛋糕
西餐厅,新化县,64,4.5,工作日早餐,07:00-11:00,牛排
咖啡馆,双峰县,80,4.4,工作日晚餐,17:30-22:30,蛋糕
炸串小吃,娄星区,55,3.8,夜宵,18:00-02:00,炸里脊肉
粥,娄星区,12,4.2,学生早餐,06:30-10:30,小米粥
粥,娄星区,12,4.2,学生早餐,06:30-10:30,南瓜粥
快餐连锁,新化县,40,4.3,周末晚餐,18:00-23:00,汉堡
本地小吃,娄星区,15,4.1,学生用餐,10:00-22:00,糖油粑粑
东南亚菜,涟源市,50,3.9,周末早餐,07:00-11:00,菠萝饭
甜品店,双峰县,50,4.6,学生夜宵,19:00-00:00,奶茶
湘菜,双峰县,64,3.5,亲子聚餐,09:30-22:30,小炒黄牛肉
早餐米粉店,新化县,16,4.2,学生早餐,07:00-11:00,牛肉粉
甜品店,冷水江市,50,4.4,外卖,10:30-21:30,糖水
火锅烤肉,新化县,70,4.6,周末聚餐,09:30-22:30,麻辣火锅
早餐米粉店,娄星区,25,3.8,工作日早餐,07:00-11:00,牛肉粉
海鲜餐厅,新化县,80,4.6,情侣约会,10:00-22:00,蒜蓉粉丝扇贝
海鲜餐厅,冷水江市,83,4.6,商务聚餐,10:30-21:30,鲍鱼
烧烤店,双峰县,99,4.5,节日聚餐,18:00-01:00,烤牛肉串
甜品店,涟源市,50,4.0,商务宴请,10:00-22:00,冰淇淋
中式快餐,涟源市,30,3.9,家庭聚餐,10:30-21:30,炒饭
快餐连锁,新化县,40,4.3,商务宴请,10:00-22:00,炸鸡
中式快餐,双峰县,30,4.6,户外用餐,10:00-22:00,汤
自助餐厅,冷水江市,68,4.7,工作日晚餐,18:00-23:00,火锅自助
火锅烤肉,新化县,50,3.9,周末聚餐,10:00-22:00,鸳鸯火锅
面馆,双峰县,35,4.7,周末午餐,11:00-14:00,拉面
西餐厅,娄星区,60,4.3,工作日早餐,06:00-10:00,意面
海鲜餐厅,双峰县,80,4.6,学生午餐,12:00-14:30,蒜蓉粉丝扇贝
火锅烤肉,新化县,69,4.7,周末聚餐,10:00-22:00,烤生蚝
特色主题餐厅,冷水江市,52,4.7,工作日午餐,12:00-14:30,侗族腌鱼
包子,娄星区,15,3.8,工作日早餐,07:00-11:00,豆沙包
自助餐厅,娄星区,60,4.1,亲子聚餐,10:30-21:30,烤肉自助
日韩料理,涟源市,89,4.7,朋友聚会,09:30-22:30,拉面
炸串小吃,娄星区,60,4.2,夜宵,19:00-00:00,炸土豆
面馆,冷水江市,35,4.8,学生午餐,11:30-15:00,炸酱面
粥,娄星区,12,4.2,学生早餐,06:30-10:30,黑米粥
西餐厅,双峰县,60,3.9,亲子聚餐,09:30-22:30,牛排
咖啡馆,涟源市,80,4.3,情侣约会,10:00-22:00,拿铁
火锅烤肉,新化县,50,3.7,周末聚餐,10:00-22:00,鸳鸯火锅
新化菜,娄星区,43,3.8,亲子聚餐,09:30-22:30,新化三合汤
本地小吃,娄星区,15,4.4,学生用餐,09:30-22:30,葱油饼
包子,娄星区,15,4.3,工作日早餐,06:30-10:30,青菜包
新化菜,娄星区,76,4.3,周末聚餐,10:30-21:30,向东街米粉
湘菜,娄星区,48,4.7,周末聚餐,10:00-22:00,辣椒炒肉
特色主题餐厅,冷水江市,75,4.3,周末早餐,07:00-11:00,苗家酸汤鱼
小龙虾店,双峰县,60,3.9,工作日晚餐,17:00-01:00,清蒸小龙虾
烤鱼店,冷水江市,75,4.4,周末晚餐,17:30-22:30,酸菜烤鱼
咖啡馆,娄星区,72,4.6,周末早餐,06:30-10:30,蛋糕
中式快餐,双峰县,30,4.7,夜宵,18:00-02:00,面条
早餐米粉店,新化县,16,4.1,学生早餐,07:00-11:00,牛肉粉
烧烤店,冷水江市,42,3.7,朋友聚会,19:00-00:00,烤鸡翅
新化菜,新化县,58,3.5,亲子聚餐,10:00-22:00,新化三合汤
自助餐厅,冷水江市,60,4.8,下午茶,14:00-17:00,火锅自助
湘式快餐,冷水江市,35,3.7,学生夜宵,18:00-02:00,小炒肉饭
特色主题餐厅,新化县,94,4.8,户外用餐,10:00-22:00,苗家酸汤鱼
中式快餐,娄星区,30,4.4,周末晚餐,17:30-22:30,炒菜
烤鱼店,冷水江市,57,3.9,学生午餐,12:00-14:30,豆豉烤鱼
炸串小吃,娄星区,22,4.6,夜宵,20:00-01:00,炸土豆
