user_id,age,gender,location,occupation,preference_cuisine,preference_price_range,preference_scene,registration_date
U0070,39,女,冷水江市,医生,粤菜,经济型,外卖,2025-02-16
U0071,29,女,冷水江市,学生,西餐,经济型,学生晚餐,2025-06-01
U0072,52,女,双峰县,其他,川菜,高档,商务聚餐,2025-07-24
U0073,44,男,冷水江市,其他,小吃,高档,家庭聚餐,2025-12-20
U0074,19,男,娄星区,工程师,湘菜,高档,甜品,2025-11-07
U0075,38,女,涟源市,工程师,日韩料理,经济型,户外用餐,2025-09-20
U0076,20,男,娄星区,学生,粤菜,经济型,学生早餐,2025-04-03
U0077,45,男,冷水江市,其他,川菜,高档,商务宴请,2025-03-18
U0078,49,女,涟源市,其他,西餐,中档,商务宴请,2026-01-09
U0079,45,女,涟源市,自由职业者,素食,高档,家庭聚餐,2025-12-20
U0080,56,女,涟源市,工程师,日韩料理,中档,商务聚餐,2025-07-05
U0081,25,女,新化县,教师,素食,高档,周末早餐,2025-07-31
U0082,49,男,双峰县,教师,日韩料理,高档,家庭聚餐,2025-08-03
U0083,30,男,冷水江市,上班族,川菜,中档,家庭聚餐,2025-06-27
U0084,59,女,娄星区,学生,小吃,经济型,学生晚餐,2026-01-24
U0085,45,男,娄星区,工程师,小吃,高档,商务聚餐,2025-06-22
U0086,39,男,涟源市,医生,快餐,高档,家庭聚餐,2026-01-14
U0087,40,男,冷水江市,学生,湘菜,经济型,学生午餐,2025-08-25
U0088,28,男,冷水江市,其他,小吃,经济型,午餐,2025-02-10
U0089,33,男,新化县,上班族,湘菜,中档,午餐,2025-08-02
U0090,40,女,涟源市,其他,日韩料理,中档,户外用餐,2025-07-14
U0091,60,男,冷水江市,上班族,快餐,高档,商务宴请,2025-12-26
U0092,48,女,涟源市,上班族,小吃,中档,商务宴请,2025-08-18
U0093,42,女,冷水江市,公务员,西餐,高档,商务聚餐,2025-02-05
U0094,34,男,涟源市,公务员,小吃,中档,工作日晚餐,2025-04-01
U0095,18,女,新化县,教师,快餐,高档,小吃,2025-04-01
U0096,55,男,娄星区,工程师,小吃,中档,商务宴请,2025-08-31
U0097,30,女,涟源市,上班族,粤菜,经济型,学生午餐,2025-06-17
U0098,21,女,双峰县,上班族,西餐,高档,周末早餐,2025-12-17
U0099,38,男,娄星区,学生,日韩料理,经济型,学生早餐,2025-09-19
U0100,55,男,冷水江市,教师,湘菜,中档,商务聚餐,2025-06-01
U0101,60,女,涟源市,上班族,西餐,高档,家庭聚餐,2025-04-03
U0102,53,男,冷水江市,上班族,湘菜,高档,家庭聚餐,2025-04-09
U0103,42,男,新化县,其他,湘菜,高档,商务聚餐,2025-08-26
U0104,33,女,新化县,自由职业者,粤菜,高档,学生夜宵,2025-09-13
U0105,55,女,新化县,学生,日韩料理,经济型,学生早餐,2025-10-23
U0106,19,男,涟源市,自由职业者,西餐,高档,甜品,2025-06-14
U0107,32,女,涟源市,学生,小吃,经济型,学生夜宵,2025-03-24
U0108,60,男,新化县,公务员,粤菜,中档,商务宴请,2025-10-31
U0109,41,男,新化县,工程师,湘菜,高档,商务聚餐,2025-10-30
U0110,39,女,冷水江市,工程师,快餐,中档,工作日午餐,2025-08-31
U0111,25,男,双峰县,其他,小吃,中档,周末晚餐,2025-11-29
U0112,57,女,双峰县,其他,西餐,中档,商务宴请,2025-10-10
U0113,55,男,涟源市,上班族,西餐,高档,家庭聚餐,2025-12-17
U0114,21,女,冷水江市,医生,湘菜,高档,学生晚餐,2025-05-25
U0115,27,女,新化县,公务员,日韩料理,高档,学生晚餐,2025-11-28
U0116,51,男,冷水江市,其他,素食,高档,商务聚餐,2025-02-06
U0117,36,男,新化县,学生,湘菜,经济型,学生午餐,2025-09-13
U0118,38,女,新化县,工程师,素食,经济型,家庭聚餐,2025-06-29
U0119,33,女,新化县,学生,素食,经济型,学生晚餐,2025-04-21
U0120,19,男,双峰县,公务员,粤菜,中档,朋友聚会,2025-03-27
U0121,60,女,涟源市,其他,素食,中档,商务聚餐,2025-02-28
U0122,52,男,冷水江市,上班族,日韩料理,中档,商务宴请,2026-01-27
U0123,44,女,双峰县,上班族,西餐,高档,家庭聚餐,2025-02-03
U0124,38,女,涟源市,医生,素食,中档,情侣约会,2025-03-21
U0125,60,男,双峰县,公务员,素食,中档,商务宴请,2025-04-08
U0126,40,男,娄星区,医生,西餐,中档,外卖,2025-04-01
U0127,40,男,新化县,其他,湘菜,经济型,商务聚餐,2025-11-20
U0128,23,男,新化县,上班族,日韩料理,中档,节日聚餐,2026-01-19
U0129,20,女,新化县,公务员,小吃,中档,午餐,2025-10-27
U0130,24,男,冷水江市,医生,湘菜,中档,情侣约会,2025-12-05
U0131,55,女,涟源市,教师,日韩料理,中档,家庭聚餐,2025-12-26
U0132,50,男,娄星区,上班族,日韩料理,高档,商务聚餐,2025-02-18
U0133,23,男,双峰县,工程师,快餐,经济型,周末聚餐,2025-09-19
U0134,24,男,冷水江市,工程师,西餐,高档,下午茶,2025-06-12
U0135,52,男,娄星区,工程师,西餐,中档,家庭聚餐,2025-06-12
U0136,37,女,涟源市,学生,粤菜,经济型,学生晚餐,2025-02-26
U0137,37,女,新化县,上班族,日韩料理,中档,朋友聚会,2025-09-03
U0138,39,女,双峰县,学生,西餐,经济型,学生早餐,2025-07-13
U0139,54,男,双峰县,教师,小吃,中档,商务聚餐,2025-09-10
U0140,38,男,新化县,其他,快餐,中档,学生晚餐,2025-08-27
U0141,55,女,双峰县,学生,川菜,经济型,学生午餐,2025-06-23
U0142,22,男,双峰县,教师,粤菜,高档,午餐,2025-09-19
U0143,48,男,双峰县,医生,粤菜,高档,商务宴请,2025-06-07
U0144,42,男,涟源市,医生,快餐,中档,商务宴请,2025-11-05
U0145,30,男,冷水江市,工程师,粤菜,中档,午餐,2025-09-06
U0146,21,女,涟源市,医生,川菜,经济型,商务聚餐,2025-02-16
U0147,50,女,新化县,医生,小吃,中档,商务聚餐,2025-09-01
U0148,50,女,娄星区,学生,粤菜,经济型,学生用餐,2025-12-11
U0149,60,男,新化县,上班族,湘菜,中档,商务聚餐,2025-05-18
U0150,53,女,冷水江市,自由职业者,西餐,中档,家庭聚餐,2025-08-26
U0151,53,女,冷水江市,教师,川菜,高档,商务聚餐,2025-11-27
U0152,48,男,娄星区,自由职业者,日韩料理,中档,商务聚餐,2025-04-06
U0153,26,女,娄星区,医生,日韩料理,经济型,亲子聚餐,2025-12-15
U0154,33,男,双峰县,学生,川菜,经济型,学生午餐,2025-04-22
U0155,33,男,娄星区,自由职业者,湘菜,经济型,户外用餐,2025-08-01
U0156,42,女,双峰县,工程师,快餐,高档,家庭聚餐,2025-07-25
U0157,49,男,涟源市,自由职业者,粤菜,高档,商务聚餐,2025-12-01
U0158,18,女,新化县,教师,素食,经济型,学生晚餐,2026-01-16
U0159,29,女,冷水江市,工程师,日韩料理,中档,家庭聚餐,2026-01-04
U0160,38,男,涟源市,上班族,小吃,中档,商务宴请,2025-08-11
U0161,35,女,娄星区,教师,日韩料理,高档,户外用餐,2025-03-07
U0162,22,女,双峰县,医生,小吃,高档,工作日午餐,2026-01-11
U0163,56,女,娄星区,工程师,西餐,中档,家庭聚餐,2025-11-24
U0164,59,男,双峰县,工程师,湘菜,中档,家庭聚餐,2025-11-17
U0165,27,女,娄星区,公务员,小吃,高档,夜宵,2025-02-24
U0166,48,女,双峰县,公务员,湘菜,高档,商务聚餐,2026-01-30
U0167,28,男,娄星区,其他,快餐,经济型,情侣约会,2025-05-29
U0168,36,男,冷水江市,上班族,日韩料理,高档,学生早餐,2026-01-15
U0169,46,女,新化县,自由职业者,粤菜,中档,商务聚餐,2025-09-24
U0170,58,女,娄星区,教师,日韩料理,中档,商务聚餐,2025-06-26
U0171,27,女,娄星区,教师,湘菜,高档,工作日午餐,2025-02-28
U0172,26,男,娄星区,工程师,西餐,中档,情侣约会,2025-08-09
U0173,31,女,娄星区,学生,素食,经济型,学生用餐,2025-12-10
U0174,48,女,新化县,公务员,小吃,高档,商务宴请,2025-10-01
U0175,48,女,新化县,医生,素食,中档,家庭聚餐,2025-02-10
U0176,41,男,新化县,工程师,小吃,高档,家庭聚餐,2025-02-17
U0177,54,男,冷水江市,医生,素食,中档,商务宴请,2025-02-19
U0178,44,男,新化县,上班族,西餐,高档,家庭聚餐,2025-03-06
U0179,27,女,新化县,医生,湘菜,中档,周末聚餐,2025-08-10
U0180,33,男,娄星区,学生,湘菜,经济型,学生午餐,2025-08-31
U0181,56,女,双峰县,其他,快餐,高档,商务宴请,2025-06-12
U0182,20,男,新化县,医生,湘菜,中档,商务宴请,2025-04-03
U0183,53,女,冷水江市,上班族,素食,中档,商务宴请,2025-06-22
U0184,21,女,新化县,其他,小吃,高档,学生夜宵,2025-11-21
U0185,52,女,娄星区,其他,日韩料理,高档,商务聚餐,2025-12-07
U0186,27,男,新化县,上班族,快餐,中档,周末午餐,2025-05-17
U0187,26,男,冷水江市,工程师,快餐,中档,家庭聚餐,2025-05-02
U0188,48,女,新化县,教师,日韩料理,高档,商务宴请,2025-12-03
U0189,25,女,双峰县,教师,日韩料理,经济型,夜宵,2025-07-02
U0190,29,女,冷水江市,公务员,日韩料理,中档,小吃,2025-04-16
U0191,47,男,娄星区,工程师,日韩料理,高档,商务聚餐,2025-06-30
U0192,47,男,娄星区,医生,日韩料理,中档,商务聚餐,2025-04-29
U0193,50,男,双峰县,学生,素食,经济型,学生晚餐,2025-08-27
U0194,55,男,涟源市,上班族,快餐,高档,商务聚餐,2025-11-10
U0195,39,男,双峰县,工程师,小吃,中档,学生早餐,2025-03-24
U0196,46,男,娄星区,医生,小吃,高档,家庭聚餐,2025-03-25
U0197,51,男,涟源市,学生,日韩料理,经济型,学生早餐,2026-01-28
U0198,47,男,新化县,工程师,湘菜,中档,商务聚餐,2025-04-22
U0199,42,女,双峰县,其他,湘菜,中档,商务聚餐,2025-07-03
U0200,43,男,双峰县,学生,素食,经济型,学生用餐,2025-08-05
U0201,20,女,双峰县,医生,湘菜,经济型,朋友聚会,2025-07-10
U0202,52,女,娄星区,学生,粤菜,经济型,学生用餐,2025-12-11
U0203,22,女,涟源市,教师,小吃,经济型,工作日午餐,2025-08-23
U0204,30,男,娄星区,自由职业者,粤菜,中档,家庭聚餐,2026-01-29
U0205,46,男,新化县,工程师,素食,中档,商务宴请,2025-07-19
U0206,27,女,娄星区,教师,快餐,高档,学生午餐,2025-09-17
U0207,31,男,新化县,学生,日韩料理,经济型,学生夜宵,2025-04-23
U0208,51,男,新化县,自由职业者,快餐,高档,商务宴请,2025-11-08
U0209,31,男,新化县,医生,湘菜,中档,甜品,2025-03-02
U0210,21,女,娄星区,工程师,小吃,高档,夜宵,2025-10-15
U0211,27,男,冷水江市,上班族,川菜,高档,户外用餐,2025-04-15
U0212,48,女,冷水江市,自由职业者,素食,中档,家庭聚餐,2025-04-30
U0213,51,男,娄星区,公务员,湘菜,中档,商务聚餐,2025-03-08
U0214,39,男,双峰县,其他,西餐,中档,商务聚餐,2025-04-15
U0215,44,女,新化县,其他,西餐,中档,家庭聚餐,2025-07-19
U0216,52,女,新化县,公务员,西餐,中档,家庭聚餐,2025-04-29
U0217,26,女,娄星区,公务员,湘菜,中档,工作日早餐,2025-05-03
U0218,35,女,冷水江市,公务员,素食,中档,外卖,2025-07-07
U0219,29,男,涟源市,上班族,小吃,中档,工作日晚餐,2025-04-03
U0220,49,男,新化县,教师,湘菜,高档,商务聚餐,2025-05-31
U0221,49,男,新化县,工程师,快餐,高档,家庭聚餐,2025-02-05
U0222,36,男,冷水江市,工程师,粤菜,经济型,学生早餐,2025-04-19
U0223,39,男,双峰县,公务员,湘菜,中档,外卖,2025-03-09
U0224,57,男,新化县,公务员,素食,中档,商务聚餐,2026-01-28
U0225,44,男,双峰县,学生,快餐,经济型,学生夜宵,2025-02-10
U0226,18,女,新化县,其他,川菜,高档,早餐,2026-01-04
U0227,49,男,双峰县,教师,素食,高档,家庭聚餐,2026-01-20
U0228,54,女,双峰县,上班族,快餐,中档,商务聚餐,2025-07-18
U0229,20,女,涟源市,公务员,日韩料理,经济型,学生用餐,2025-10-23
U0230,42,女,新化县,学生,湘菜,经济型,学生晚餐,2025-11-28
U0231,40,女,冷水江市,公务员,西餐,经济型,情侣约会,2025-10-13
U0232,44,男,双峰县,学生,素食,经济型,学生早餐,2025-04-19
U0233,38,男,涟源市,工程师,日韩料理,经济型,学生早餐,2026-01-21
U0234,21,男,娄星区,教师,川菜,中档,朋友聚会,2025-05-30
U0235,38,男,涟源市,工程师,川菜,高档,亲子聚餐,2025-08-16
U0236,46,女,娄星区,教师,湘菜,高档,商务宴请,2026-01-21
U0237,45,男,双峰县,学生,素食,经济型,学生用餐,2025-05-31
U0238,35,女,双峰县,工程师,素食,中档,商务宴请,2025-11-28
U0239,34,女,娄星区,工程师,川菜,中档,户外用餐,2025-08-05
U0240,19,男,娄星区,自由职业者,日韩料理,中档,亲子聚餐,2025-03-05
U0241,50,女,新化县,公务员,日韩料理,中档,商务宴请,2025-08-09
U0242,50,男,娄星区,自由职业者,素食,中档,商务宴请,2025-02-07
U0243,54,男,新化县,教师,素食,高档,商务宴请,2025-07-10
U0244,38,女,涟源市,上班族,素食,高档,家庭聚餐,2025-10-01
U0245,36,女,涟源市,公务员,湘菜,经济型,朋友聚会,2025-04-20
U0246,53,女,双峰县,医生,小吃,高档,商务宴请,2026-01-01
U0247,50,男,双峰县,工程师,西餐,中档,商务宴请,2025-11-30
U0248,33,女,冷水江市,上班族,快餐,高档,甜品,2025-02-05
U0249,36,女,娄星区,工程师,快餐,经济型,商务聚餐,2025-07-19
U0250,33,男,双峰县,医生,川菜,高档,情侣约会,2025-12-25
U0251,41,女,新化县,学生,日韩料理,经济型,学生早餐,2025-04-06
U0252,45,女,新化县,学生,湘菜,经济型,学生早餐,2025-11-23
U0253,40,男,双峰县,工程师,小吃,高档,情侣约会,2025-04-10
U0254,43,女,新化县,教师,快餐,中档,家庭聚餐,2025-10-16
U0255,39,女,双峰县,自由职业者,湘菜,中档,周末早餐,2025-12-29
U0256,25,女,娄星区,学生,湘菜,经济型,学生晚餐,2025-11-18
U0257,25,女,娄星区,教师,素食,经济型,亲子聚餐,2025-12-28
U0258,44,男,新化县,自由职业者,快餐,中档,商务聚餐,2025-09-29
U0259,21,男,涟源市,上班族,粤菜,中档,午餐,2025-08-16
U0260,33,男,娄星区,上班族,西餐,中档,商务聚餐,2025-05-07
U0261,51,男,娄星区,工程师,川菜,高档,家庭聚餐,2025-02-16
U0262,57,男,冷水江市,其他,日韩料理,高档,家庭聚餐,2025-08-18
U0263,38,男,双峰县,教师,湘菜,经济型,学生夜宵,2025-04-04
U0264,29,女,娄星区,教师,日韩料理,中档,工作日午餐,2025-05-05
U0265,43,女,双峰县,工程师,素食,中档,商务聚餐,2025-07-10
U0266,45,男,娄星区,自由职业者,西餐,高档,商务宴请,2025-11-29
U0267,34,男,娄星区,教师,湘菜,经济型,午餐,2025-07-25
U0268,55,男,涟源市,自由职业者,西餐,高档,家庭聚餐,2025-06-11
U0269,48,男,新化县,学生,西餐,经济型,学生午餐,2025-08-25
U0270,37,女,新化县,医生,川菜,经济型,学生晚餐,2025-10-31
U0271,38,男,双峰县,学生,湘菜,经济型,学生午餐,2025-12-04
U0272,18,女,冷水江市,公务员,日韩料理,高档,学生早餐,2026-01-30
U0273,52,男,娄星区,教师,湘菜,高档,家庭聚餐,2025-07-26
U0274,56,女,娄星区,公务员,小吃,高档,家庭聚餐,2025-09-19
U0275,40,男,涟源市,工程师,小吃,高档,户外用餐,2025-09-06
U0276,36,女,娄星区,上班族,素食,中档,户外用餐,2025-05-27
U0277,38,男,涟源市,教师,素食,中档,外卖,2025-03-17
U0278,52,女,双峰县,自由职业者,快餐,中档,商务聚餐,2025-07-27
U0279,56,女,娄星区,教师,粤菜,中档,家庭聚餐,2025-02-05
U0280,54,男,双峰县,上班族,湘菜,中档,家庭聚餐,2025-02-12
U0281,26,女,涟源市,学生,日韩料理,经济型,学生夜宵,2025-12-28
U0282,59,女,双峰县,工程师,小吃,高档,家庭聚餐,2025-06-13
U0283,44,男,娄星区,教师,素食,高档,商务聚餐,2025-10-25
U0284,52,男,涟源市,上班族,小吃,高档,商务聚餐,2026-01-09
U0285,21,男,新化县,上班族,小吃,中档,工作日晚餐,2025-04-12
U0286,36,女,双峰县,学生,快餐,经济型,学生早餐,2025-12-19
U0287,48,男,娄星区,医生,粤菜,中档,商务宴请,2025-12-16
U0288,18,女,娄星区,医生,西餐,高档,学生午餐,2025-11-22
U0289,56,男,新化县,医生,快餐,高档,家庭聚餐,2025-10-23
U0290,53,女,冷水江市,工程师,快餐,中档,商务聚餐,2025-11-03
U0291,43,女,娄星区,公务员,川菜,高档,家庭聚餐,2025-07-25
U0292,41,女,新化县,医生,小吃,高档,商务宴请,2025-05-14
U0293,49,女,新化县,自由职业者,快餐,高档,商务宴请,2026-01-10
U0294,49,女,娄星区,学生,川菜,经济型,学生午餐,2025-06-29
U0295,18,女,冷水江市,上班族,素食,经济型,户外用餐,2025-11-23
U0296,57,女,娄星区,教师,粤菜,中档,家庭聚餐,2025-05-23
U0297,21,女,双峰县,公务员,素食,经济型,甜品,2025-09-01
U0298,29,女,涟源市,医生,西餐,高档,甜品,2025-06-17
U0299,26,男,娄星区,教师,西餐,中档,朋友聚会,2025-04-04
U0300,47,女,涟源市,其他,川菜,中档,商务宴请,2025-08-17
U0301,44,男,娄星区,学生,西餐,经济型,学生早餐,2025-09-26
U0302,30,女,娄星区,医生,素食,中档,周末聚餐,2025-09-05
U0303,20,女,涟源市,上班族,川菜,中档,学生夜宵,2025-05-26
U0304,51,男,娄星区,公务员,日韩料理,高档,商务聚餐,2026-01-19
U0305,40,男,涟源市,学生,日韩料理,经济型,学生用餐,2025-08-14
U0306,50,男,娄星区,自由职业者,素食,高档,商务宴请,2025-08-13
U0307,51,男,冷水江市,医生,湘菜,高档,家庭聚餐,2025-05-20
U0308,58,男,娄星区,学生,川菜,经济型,学生夜宵,2025-03-15
U0309,57,女,冷水江市,其他,小吃,高档,商务宴请,2025-07-30
U0310,48,女,娄星区,医生,湘菜,高档,商务聚餐,2025-09-02
U0311,22,女,双峰县,公务员,西餐,经济型,节日聚餐,2025-02-16
U0312,49,男,冷水江市,自由职业者,快餐,高档,家庭聚餐,2025-07-15
U0313,47,男,新化县,工程师,小吃,中档,商务宴请,2025-07-01
U0314,38,女,冷水江市,其他,素食,中档,小吃,2025-03-12
U0315,55,男,涟源市,学生,西餐,经济型,学生午餐,2025-08-21
U0316,46,女,冷水江市,自由职业者,日韩料理,中档,商务聚餐,2025-12-13
U0317,50,男,新化县,教师,快餐,中档,家庭聚餐,2025-12-30
U0318,44,男,涟源市,公务员,湘菜,中档,商务宴请,2025-02-27
U0319,27,女,娄星区,其他,素食,高档,周末晚餐,2025-09-30
U0320,51,男,娄星区,自由职业者,快餐,中档,商务聚餐,2025-06-30
U0321,23,女,新化县,自由职业者,小吃,高档,情侣约会,2025-11-06
U0322,30,女,冷水江市,公务员,湘菜,中档,节日聚餐,2025-05-19
U0323,49,女,新化县,学生,西餐,经济型,学生午餐,2025-05-31
U0324,49,女,涟源市,其他,粤菜,中档,商务聚餐,2025-12-14
U0325,28,男,双峰县,其他,日韩料理,高档,亲子聚餐,2025-12-09
U0326,38,男,双峰县,学生,小吃,经济型,学生晚餐,2025-07-10
U0327,25,女,娄星区,公务员,湘菜,经济型,节日聚餐,2025-11-08
U0328,51,男,双峰县,医生,湘菜,高档,商务宴请,2025-11-06
U0329,49,女,冷水江市,公务员,湘菜,高档,家庭聚餐,2025-10-15
U0330,21,女,涟源市,教师,快餐,中档,商务宴请,2026-01-09
U0331,29,女,冷水江市,医生,素食,高档,午餐,2025-09-29
U0332,42,女,双峰县,其他,快餐,中档,商务宴请,2026-01-09
U0333,41,男,冷水江市,教师,快餐,中档,商务聚餐,2025-07-19
U0334,59,男,双峰县,自由职业者,粤菜,中档,商务聚餐,2025-04-05
U0335,20,男,新化县,其他,快餐,经济型,工作日午餐,2026-01-04
U0336,28,男,娄星区,工程师,川菜,中档,家庭聚餐,2025-10-27
U0337,54,男,涟源市,自由职业者,快餐,高档,商务宴请,2026-01-30
U0338,48,女,新化县,其他,西餐,中档,商务宴请,2025-03-15
U0339,40,女,涟源市,医生,川菜,经济型,节日聚餐,2025-04-12
U0340,34,女,涟源市,教师,湘菜,高档,外卖,2025-12-03
U0341,48,男,冷水江市,学生,川菜,经济型,学生夜宵,2025-12-24
U0342,22,女,新化县,自由职业者,快餐,经济型,亲子聚餐,2025-02-22
U0343,25,女,娄星区,教师,日韩料理,中档,商务聚餐,2025-07-30
U0344,40,男,双峰县,学生,西餐,经济型,学生午餐,2025-11-26
U0345,57,男,双峰县,学生,粤菜,经济型,学生早餐,2025-02-09
U0346,27,女,涟源市,上班族,快餐,经济型,周末晚餐,2025-06-08
U0347,24,男,涟源市,医生,日韩料理,高档,周末聚餐,2025-11-20
U0348,19,女,娄星区,教师,粤菜,高档,情侣约会,2025-10-17
U0349,59,男,涟源市,教师,西餐,中档,商务宴请,2025-08-25
U0350,50,男,冷水江市,上班族,西餐,中档,家庭聚餐,2025-08-13
U0351,26,女,冷水江市,上班族,湘菜,高档,商务聚餐,2025-06-15
U0352,48,男,娄星区,工程师,西餐,高档,商务聚餐,2025-09-22
U0353,30,男,新化县,自由职业者,西餐,高档,商务宴请,2025-02-15
U0354,27,女,涟源市,医生,日韩料理,经济型,商务宴请,2025-10-12
U0355,33,男,新化县,上班族,日韩料理,中档,学生午餐,2025-05-12
U0356,29,男,双峰县,上班族,西餐,高档,学生午餐,2025-04-07
U0357,42,男,涟源市,学生,素食,经济型,学生早餐,2025-10-12
U0358,60,女,冷水江市,上班族,川菜,高档,家庭聚餐,2025-12-31
U0359,49,女,新化县,上班族,日韩料理,中档,家庭聚餐,2026-01-18
U0360,60,男,双峰县,自由职业者,川菜,高档,商务聚餐,2025-03-15
U0361,45,女,新化县,工程师,素食,高档,家庭聚餐,2025-06-11
U0362,59,女,双峰县,上班族,快餐,高档,商务聚餐,2025-09-06
U0363,37,女,冷水江市,医生,西餐,高档,朋友聚会,2025-07-17
U0364,44,女,新化县,上班族,素食,中档,商务聚餐,2025-11-22
U0365,31,男,冷水江市,学生,日韩料理,经济型,学生午餐,2025-07-05
U0366,50,男,冷水江市,自由职业者,粤菜,中档,商务宴请,2025-12-09
U0367,24,女,涟源市,教师,粤菜,经济型,早餐,2025-02-10
