merchant_id,merchant_name,area,avg_price,score,main_scene,business_hours,dish_feature
M0059,娄底自助王,新化县,60,3.6,周末聚餐,09:30-22:30,烤肉自助
M0060,湘里湘亲,娄星区,35,4.6,工作日午餐,10:00-22:00,酸辣土豆丝
M0061,日韩小栈,娄星区,59,4.6,周末聚餐,06:00-10:00,寿司
M0062,海之味,冷水江市,66,3.6,下午茶,13:30-17:30,椒盐虾
M0063,甜品天地,娄星区,50,4.2,周末早餐,06:30-10:30,冰淇淋
M0064,快餐之家,涟源市,30,4.2,外卖,09:30-22:30,炒饭
M0065,炸串天地,冷水江市,54,3.5,学生夜宵,19:00-00:00,炸土豆
M0066,面铺小栈,娄星区,35,4.3,周末午餐,11:00-14:00,牛肉面
M0067,娄底烧烤王,新化县,55,3.8,朋友聚会,17:30-22:30,烤鸡翅
M0068,鲜之味,冷水江市,95,4.5,下午茶,13:30-17:30,蒜蓉粉丝扇贝
M0069,小吃小栈,双峰县,15,4.8,工作日午餐,11:30-15:00,糖油粑粑
M0070,张亮麻辣烫,娄星区,40,4.6,下午茶,14:00-17:00,汉堡
M0071,特色小馆,冷水江市,44,3.8,学生夜宵,19:00-00:00,土家族合渣
M0072,粥道坊,娄星区,12,4.5,学生早餐,07:00-11:00,白粥
M0073,海味达人,冷水江市,80,4.3,学生夜宵,19:00-00:00,蒜蓉粉丝扇贝
M0074,鱼道馆,双峰县,97,4.7,商务聚餐,16:00-23:00,酸菜烤鱼
M0075,娄底小龙虾王,新化县,70,4.4,情侣约会,17:00-01:00,椒盐小龙虾
M0076,中式快餐王,冷水江市,30,4.0,情侣约会,10:00-22:00,炒菜
M0077,料理达人,新化县,61,3.8,学生早餐,07:00-11:00,烤肉
M0078,东南亚小馆,娄星区,50,3.9,学生夜宵,18:00-02:00,菠萝饭
M0079,过桥米线,娄星区,40,3.7,工作日晚餐,18:00-23:00,可乐
M0080,烤肉天地,娄星区,63,4.4,周末聚餐,10:00-22:00,鸳鸯火锅
M0081,东南亚之家,冷水江市,65,4.6,学生夜宵,19:00-00:00,沙爹
M0082,快餐小栈,新化县,30,3.9,周末午餐,11:00-14:00,米饭套餐
M0083,娄底味道,娄星区,35,4.4,商务聚餐,10:00-22:00,青菜
M0084,甜品小栈,娄星区,50,3.8,家庭聚餐,10:30-21:30,冰淇淋
M0085,南洋小栈,新化县,79,4.4,夜宵,19:00-00:00,沙爹
M0086,烤肉小栈,新化县,79,4.3,夜宵,19:00-00:00,麻辣火锅
M0087,面香居,冷水江市,35,4.2,朋友聚会,10:00-22:00,拉面
M0088,中式快餐园,娄星区,30,3.9,家庭聚餐,10:30-21:30,面条
M0089,粉道馆,娄星区,65,4.2,学生用餐,10:00-22:00,炒粉
M0090,烤肉自助,新化县,62,4.6,亲子聚餐,10:00-22:00,火锅自助
M0091,食尚快餐,娄星区,30,4.4,外卖,09:30-22:30,米饭套餐
M0092,蒸笼天地,娄星区,15,3.6,工作日早餐,07:00-11:00,豆沙包
M0093,粉道缘,娄星区,33,4.5,工作日午餐,11:30-15:00,炒粉
M0094,民俗餐厅,双峰县,40,3.6,户外用餐,10:30-21:30,湘西土匪鸭
M0095,双峰米粉馆,娄星区,54,4.5,工作日午餐,11:30-15:00,牛肉粉
M0096,寿司小栈,娄星区,50,4.6,情侣约会,09:30-22:30,寿司
M0097,虾闹人生,冷水江市,60,3.9,外卖,16:00-02:00,清蒸小龙虾
M0098,料理小馆,涟源市,51,3.5,情侣约会,10:00-22:00,寿司
M0099,烤鱼达人,娄星区,50,3.8,商务宴请,16:00-23:00,蒜香烤鱼
M0100,双峰米粉王,娄星区,15,4.6,学生早餐,07:00-11:00,猪油拌粉
M0101,虾说美食,娄星区,64,4.7,夜宵,18:00-02:00,清蒸小龙虾
M0102,安徽板面,娄星区,40,4.6,学生午餐,11:00-14:00,薯条
M0103,烤串部落,双峰县,100,4.4,节日聚餐,17:00-02:00,烤羊肉串
M0104,虾闹天地,新化县,61,4.2,周末晚餐,17:00-01:00,蒜蓉小龙虾
M0105,粉香源,新化县,17,4.7,工作日早餐,06:00-10:00,肉丝粉
M0106,虾闹小馆,娄星区,60,4.6,工作日午餐,12:00-14:30,十三香小龙虾
M0107,涮烤小铺,新化县,139,4.5,周末聚餐,09:30-22:30,清汤火锅
M0108,西餐达人馆,娄星区,82,4.1,周末早餐,06:00-10:00,意面
M0109,串烧坊,冷水江市,52,3.6,学生夜宵,19:00-00:00,炸香蕉
M0110,料理天地,娄星区,65,4.5,学生夜宵,19:00-00:00,刺身
M0111,小吃小铺,双峰县,24,3.6,学生用餐,10:30-21:30,糖油粑粑
M0112,烤肉小栈,双峰县,66,4.6,周末午餐,11:30-15:00,刺身
M0113,必胜客,涟源市,40,3.7,情侣约会,10:00-22:00,薯条
M0114,家常小铺,新化县,30,3.9,家庭聚餐,10:30-21:30,面条
M0115,自助小栈,新化县,155,4.6,学生午餐,12:00-14:30,火锅自助
M0116,泰味园,娄星区,50,3.8,夜宵,20:00-01:00,青木瓜沙拉
M0117,东南亚小铺,涟源市,92,4.7,周末早餐,07:00-11:00,沙爹
M0118,新化美食,娄星区,53,4.0,周末聚餐,10:30-21:30,向东街米粉
M0119,湘情苑,新化县,48,4.6,周末聚餐,10:00-22:00,小炒黄牛肉
M0120,烤肉小铺,涟源市,50,3.9,家庭聚餐,10:00-22:00,拉面
M0121,素味小铺,冷水江市,49,3.9,学生晚餐,17:00-22:00,蔬菜沙拉
M0122,火锅部落,娄星区,58,3.5,夜宵,20:00-01:00,麻辣火锅
M0123,文化天地,娄星区,40,4.6,学生早餐,07:00-11:00,怀化芷江鸭
M0124,烧烤天地,双峰县,45,3.5,商务聚餐,18:00-01:00,烤五花肉
M0125,烤串王,娄星区,100,4.5,节日聚餐,19:00-00:00,烤牛肉串
M0126,串香门第,娄星区,19,4.1,学生夜宵,20:00-01:00,炸香蕉
M0127,辣妹子湘菜馆,娄星区,35,4.2,下午茶,13:30-17:30,盖浇饭
M0128,好再来包子,娄星区,15,3.6,工作日早餐,06:30-10:30,豆沙包
M0129,养生粥铺,娄星区,12,4.4,学生早餐,07:00-11:00,南瓜粥
M0130,小龙虾达人馆,新化县,78,4.6,学生晚餐,18:00-01:00,麻辣小龙虾
M0131,东南亚美食,双峰县,53,4.0,下午茶,14:00-17:00,菠萝饭
M0132,娄底小吃王,双峰县,28,3.7,工作日午餐,11:30-15:00,刮凉粉
M0133,欧陆餐厅,新化县,60,4.8,商务宴请,10:30-21:30,披萨
M0134,优雅时光,双峰县,60,4.6,工作日晚餐,17:00-22:00,烤羊排
M0135,主题小栈,双峰县,40,3.7,学生夜宵,19:00-00:00,竹筒饭
M0136,风味小吃,双峰县,15,3.8,学生用餐,10:30-21:30,糖油粑粑
M0137,牛排达人,娄星区,81,4.7,学生晚餐,17:00-22:00,烤羊排
M0138,虾道人家,新化县,60,4.7,学生晚餐,18:00-00:00,椒盐小龙虾
M0139,甜蜜小铺,新化县,50,4.2,夜宵,19:00-00:00,奶茶
M0140,烤鱼天地,冷水江市,119,4.6,下午茶,17:00-22:30,麻辣烤鱼
M0141,糖心小栈,冷水江市,50,4.3,商务宴请,10:30-21:30,蛋糕
M0142,虾道馆,娄星区,60,4.5,工作日晚餐,17:00-01:00,十三香小龙虾
M0143,娄底米粉馆,娄星区,25,4.1,工作日早餐,06:00-10:00,肉丝粉
M0144,老北京炸酱面,新化县,40,4.3,周末早餐,06:30-10:30,三明治
M0145,蒸笼达人,娄星区,15,4.6,工作日早餐,06:00-10:00,奶黄包
M0146,快餐达人,娄星区,30,3.8,节日聚餐,10:30-21:30,面条
M0147,面道馆,冷水江市,35,4.8,周末晚餐,17:00-22:00,拉面
M0148,文化餐厅,双峰县,54,3.9,商务宴请,10:30-21:30,怀化芷江鸭
M0149,浪漫西餐厅,新化县,60,3.9,学生早餐,06:00-10:00,烤羊排
M0150,包子达人,娄星区,15,4.7,工作日早餐,06:00-10:00,奶黄包
M0151,虾道小栈,涟源市,60,3.8,户外用餐,16:00-02:00,清蒸小龙虾
M0152,包子达人馆,娄星区,15,4.4,工作日早餐,07:00-11:00,红糖馒头
M0153,杨国福麻辣烫,冷水江市,40,4.3,情侣约会,10:30-21:30,可乐
M0154,甜品小铺,新化县,50,4.0,工作日晚餐,17:00-22:00,冰淇淋
M0155,一日三餐,娄星区,30,4.0,工作日晚餐,17:00-22:00,炒菜
M0156,虾道之家,娄星区,60,3.9,学生夜宵,18:00-02:00,麻辣小龙虾
M0157,新化厨坊,新化县,75,4.2,早餐,06:00-10:00,新化三合汤
M0158,娄底烤鱼王,双峰县,100,4.5,学生午餐,11:30-15:00,麻辣烤鱼
M0159,素味园,新化县,60,4.3,学生夜宵,19:00-00:00,素炒时蔬
M0160,烧烤江湖,新化县,68,4.5,夜宵,17:30-22:30,烤鸡翅
M0161,粉香园,新化县,19,3.8,工作日早餐,07:00-11:00,肉丝粉
M0162,小吃之家,娄星区,26,4.0,学生用餐,09:30-22:30,甜酒冲蛋
M0163,娄底包子铺,娄星区,15,4.8,工作日早餐,06:30-10:30,豆沙包
M0164,向东街老粉店,新化县,12,3.9,工作日早餐,06:00-10:00,三鲜粉
M0165,烤肉小馆,双峰县,60,3.9,户外用餐,10:30-21:30,甜点自助
M0166,素味天地,新化县,52,4.5,情侣约会,10:30-21:30,素食套餐
M0167,粥香人家,娄星区,12,4.6,学生早餐,07:00-11:00,南瓜粥
M0168,风味小栈,双峰县,15,3.8,工作日午餐,11:00-14:00,刮凉粉
M0169,米粉达人,娄星区,22,4.0,工作日早餐,06:00-10:00,猪油拌粉
M0170,自助天地,双峰县,71,4.3,夜宵,19:00-00:00,甜点自助
M0171,粉香居,双峰县,56,3.7,学生用餐,10:30-21:30,牛肉粉
M0172,辣妹子湘菜馆,娄星区,73,4.3,工作日午餐,11:30-15:00,经典辣椒炒肉
M0173,绿色小馆,双峰县,67,4.7,工作日晚餐,17:00-22:00,蔬菜沙拉
M0174,烤肉达人,娄星区,52,3.7,周末聚餐,10:00-22:00,鸳鸯火锅
M0175,新化小厨,新化县,35,4.6,亲子聚餐,10:00-22:00,向东街米粉
M0176,娄底老灶台,娄星区,35,3.8,周末晚餐,17:30-22:30,汤
M0177,素食天地,双峰县,48,4.2,学生夜宵,20:00-01:00,素炒时蔬
M0178,泰式小馆,冷水江市,62,4.3,学生午餐,11:30-15:00,沙爹
M0179,东南亚小栈,新化县,51,3.8,工作日晚餐,17:30-22:30,沙爹
M0180,火锅自助,冷水江市,60,3.7,户外用餐,10:30-21:30,火锅自助
M0181,蒸包小铺,娄星区,15,4.7,工作日早餐,06:30-10:30,鲜肉包
M0182,故事小铺,冷水江市,62,4.4,周末午餐,11:30-15:00,苗家酸汤鱼
M0183,寿司部落,涟源市,54,4.4,朋友聚会,10:30-21:30,石锅拌饭
M0184,咖啡园,新化县,79,4.1,家庭聚餐,10:30-21:30,拿铁
M0185,美食天地,双峰县,60,4.2,下午茶,14:00-17:00,中西结合自助
M0186,鱼火冲天,双峰县,50,3.5,朋友聚会,18:00-22:00,蒜香烤鱼
M0187,鱼烤人生,新化县,56,3.9,朋友聚会,18:00-22:00,泡椒烤鱼
M0188,文化小馆,双峰县,40,3.7,学生早餐,06:00-10:00,邵阳猪血丸子
M0189,包子门第,娄星区,15,3.8,工作日早餐,07:00-11:00,豆沙包
M0190,海鲜小馆,新化县,99,4.4,外卖,10:30-21:30,清蒸鱼
M0191,绝味鸭脖,冷水江市,40,4.8,周末晚餐,17:00-22:00,汉堡
M0192,爵士西餐厅,双峰县,82,4.4,夜宵,19:00-00:00,牛排
M0193,主题达人,新化县,40,3.9,情侣约会,10:30-21:30,湘西土匪鸭
M0194,小吃园,娄星区,18,4.3,工作日午餐,11:30-15:00,糖油粑粑
M0195,欧洲美食,冷水江市,60,3.9,户外用餐,10:30-21:30,牛排
M0196,粉之道正餐,双峰县,67,4.3,工作日午餐,11:30-15:00,三鲜粉
M0197,包子王,娄星区,15,3.7,工作日早餐,06:00-10:00,青菜包
M0198,故事餐厅,冷水江市,82,4.4,工作日午餐,12:00-14:30,土家腊肉
M0199,咖啡部落,冷水江市,34,4.0,家庭聚餐,10:30-21:30,三明治
M0200,蒸功夫,娄星区,15,4.5,工作日早餐,07:00-11:00,鲜肉包
M0201,东南亚园,冷水江市,50,3.5,家庭聚餐,10:00-22:00,咖喱鸡
M0202,向东街老菜馆,新化县,53,4.2,工作日午餐,12:00-14:30,新化三合汤
M0203,虾达人,涟源市,79,4.6,夜宵,18:00-01:00,蒜蓉小龙虾
M0204,炸串江湖,冷水江市,28,4.5,夜宵,20:00-01:00,炸里脊肉
M0205,烤鱼达人馆,双峰县,59,4.4,朋友聚会,16:00-23:00,酸菜烤鱼
M0206,美食达人,冷水江市,60,4.6,工作日晚餐,17:30-22:30,海鲜自助
M0207,自助小馆,娄星区,60,4.0,学生早餐,07:00-11:00,烤肉自助
M0208,面道人家,新化县,35,4.4,学生午餐,11:00-14:00,拉面
M0209,娄底小铺,娄星区,15,4.0,学生用餐,09:30-22:30,糖油粑粑
M0210,咖啡缘,涟源市,36,3.9,朋友聚会,10:30-21:30,拿铁
M0211,撸串部落,涟源市,76,4.8,下午茶,19:00-00:00,烤羊肉串
M0212,湘西风情,娄星区,62,3.5,周末午餐,11:30-15:00,叫花鸡
M0213,咖啡馆,娄星区,25,4.5,商务宴请,10:30-21:30,卡布奇诺
M0214,新化美食园,新化县,51,3.8,亲子聚餐,09:30-22:30,向东街米粉
M0215,撸串吧,冷水江市,42,4.8,夜宵,20:00-01:00,炸香蕉
M0216,湘味人家,双峰县,40,4.4,周末聚餐,09:30-22:30,小炒黄牛肉
M0217,素食园,双峰县,48,4.7,夜宵,19:00-00:00,豆腐煲
M0218,东南亚天地,双峰县,50,4.1,学生早餐,07:00-11:00,沙爹
M0219,樱花料理,涟源市,58,4.4,商务宴请,10:30-21:30,刺身
M0220,养生粥馆,娄星区,12,4.4,学生早餐,06:30-10:30,黑米粥
M0221,湘情小馆,娄星区,45,3.9,学生用餐,09:30-22:30,剁椒鱼头
M0222,时光咖啡,新化县,70,4.7,外卖,10:30-21:30,拿铁
M0223,湘味园,娄星区,35,4.4,亲子聚餐,09:30-22:30,盖浇饭
M0224,鲜之天地,娄星区,80,4.3,商务宴请,09:30-22:30,清蒸鱼
M0225,小吃达人馆,双峰县,20,4.6,学生用餐,10:00-22:00,糖油粑粑
M0226,日韩天地,冷水江市,101,4.5,商务聚餐,10:00-22:00,寿司
M0227,素味人生,娄星区,28,3.8,周末晚餐,17:30-22:30,豆腐煲
M0228,烤肉之家,娄星区,86,4.4,周末聚餐,10:00-22:00,烤生蚝
M0229,风味之家,娄星区,26,4.4,学生用餐,09:30-22:30,糖油粑粑
M0230,面道缘,冷水江市,35,4.6,周末早餐,06:30-10:30,牛肉面
M0231,面香门第,新化县,35,4.1,夜宵,20:00-01:00,羊肉面
M0232,湘里湘亲,娄星区,64,3.9,学生用餐,10:00-22:00,剁椒鱼头
M0233,甜蜜达人,新化县,44,3.8,工作日午餐,11:30-15:00,冰淇淋
M0234,粉品小馆,双峰县,48,3.8,学生用餐,10:00-22:00,排骨粉
M0235,新化三合汤,新化县,59,4.4,早餐,06:00-10:00,向东街米粉
M0236,火锅达人馆,新化县,50,3.8,夜宵,18:00-02:00,鸳鸯火锅
M0237,新化人家,新化县,61,4.4,早餐,06:30-10:30,白溪豆腐
M0238,粉香门第,娄星区,13,4.4,工作日早餐,06:00-10:00,牛肉粉
M0239,涮烤一体,娄星区,82,4.3,夜宵,18:00-02:00,烤羊肉串
M0240,包子园,娄星区,15,3.9,工作日早餐,06:00-10:00,鲜肉包
M0241,向东街粉店,娄星区,58,4.1,工作日午餐,11:00-14:00,三鲜粉
M0242,包子之家,娄星区,15,4.5,工作日早餐,07:00-11:00,青菜包
M0243,甜蜜之家,涟源市,50,4.4,亲子聚餐,10:30-21:30,蛋糕
M0244,素食达人,新化县,48,3.7,情侣约会,09:30-22:30,素食套餐
M0245,糖心甜品,冷水江市,50,4.3,户外用餐,09:30-22:30,布丁
M0246,素味小馆,冷水江市,44,3.8,下午茶,13:30-17:30,素食套餐
M0247,湘味王,双峰县,59,4.1,亲子聚餐,10:30-21:30,剁椒鱼头
M0248,素食之家,娄星区,25,4.0,工作日晚餐,17:00-22:00,素食套餐
M0249,自助达人馆,双峰县,60,4.5,学生晚餐,17:30-22:30,中西结合自助
M0250,湘韵人家,娄星区,34,4.1,工作日午餐,11:30-15:00,盖浇饭
M0251,黄焖鸡米饭,娄星区,40,4.6,节日聚餐,10:00-22:00,薯条
M0252,素食达人馆,双峰县,44,3.9,工作日午餐,12:00-14:30,素炒时蔬
M0253,故事天地,涟源市,53,3.8,亲子聚餐,10:30-21:30,苗家酸汤鱼
M0254,虾闹小铺,娄星区,91,4.4,夜宵,18:00-01:00,麻辣小龙虾
M0255,粥品轩,娄星区,12,3.8,学生早餐,06:30-10:30,南瓜粥
M0256,海味之家,冷水江市,80,3.6,商务宴请,09:30-22:30,蒜蓉粉丝扇贝
M0257,辣不怕,娄星区,30,4.6,周末晚餐,17:00-22:00,盖浇饭
M0258,风情小栈,新化县,79,4.4,工作日早餐,07:00-11:00,怀化芷江鸭
M0259,娄底粉铺,娄星区,12,3.6,学生早餐,07:00-11:00,三鲜粉
M0260,糖心小馆,双峰县,50,4.8,学生午餐,11:30-15:00,蛋糕
M0261,烤鱼小铺,冷水江市,50,3.8,周末晚餐,18:00-22:00,蒜香烤鱼
M0262,湘韵人家,娄星区,64,3.5,周末聚餐,10:30-21:30,辣椒炒肉
M0263,泰式达人馆,冷水江市,51,4.0,亲子聚餐,10:00-22:00,青木瓜沙拉
M0264,小龙虾小栈,冷水江市,60,3.8,周末午餐,11:30-15:00,椒盐小龙虾
M0265,粉之道馆,娄星区,24,3.9,工作日早餐,06:30-10:30,猪油拌粉
M0266,烤肉部落,新化县,143,4.5,周末聚餐,09:30-22:30,烤生蚝
M0267,娄底故事,新化县,80,3.5,学生夜宵,19:00-00:00,土家腊肉
M0268,撸串小栈,冷水江市,53,4.3,学生夜宵,19:00-00:00,烤五花肉
M0269,老地方湘菜馆,冷水江市,82,4.4,商务聚餐,09:30-22:30,双色剁椒鱼头
M0270,娄底老灶台,娄星区,86,4.0,商务聚餐,09:30-22:30,辣椒炒肉
M0271,湘食记,双峰县,48,3.9,周末聚餐,09:30-22:30,经典辣椒炒肉
M0272,面达人,新化县,35,4.2,商务宴请,10:00-22:00,炸酱面
M0273,小吃达人,娄星区,18,3.8,工作日午餐,11:30-15:00,甜酒冲蛋
M0274,自助之家,双峰县,71,4.4,学生夜宵,18:00-02:00,火锅自助
M0275,粉品轩,娄星区,38,4.3,工作日午餐,11:30-15:00,炒粉
M0276,牛排馆,涟源市,60,4.1,学生早餐,06:30-10:30,烤羊排
M0277,涮烤部落,新化县,60,3.8,夜宵,18:00-02:00,清汤火锅
M0278,泰味之家,双峰县,45,4.6,工作日早餐,07:00-11:00,咖喱鸡
M0279,海鲜天地,新化县,89,4.3,下午茶,14:00-17:00,椒盐虾
M0280,新化粗粉店,新化县,22,4.3,学生早餐,07:00-11:00,牛肉粉
M0281,烟火炸串,娄星区,17,4.6,夜宵,19:00-00:00,炸香蕉
M0282,烟火烤吧,涟源市,48,4.6,周末午餐,12:00-14:30,烤五花肉
M0283,包子小栈,娄星区,15,4.6,工作日早餐,06:00-10:00,豆沙包
M0284,养生粥屋,娄星区,12,4.2,学生早餐,06:00-10:00,小米粥
M0285,烤肉之家,冷水江市,65,4.1,亲子聚餐,10:30-21:30,拉面
M0286,火锅自助达人,涟源市,60,4.7,工作日早餐,07:00-11:00,烤肉自助
M0287,烟火烧烤,涟源市,56,4.5,家庭聚餐,18:00-01:00,烤鸡翅
M0288,暖心粥铺,娄星区,12,4.2,学生早餐,07:00-11:00,小米粥
M0289,咖啡小馆,双峰县,46,4.8,周末午餐,12:00-14:30,蛋糕
M0290,粉之道,新化县,13,3.8,学生早餐,06:00-10:00,肉片粉
M0291,串烧王,娄星区,60,4.1,夜宵,19:00-00:00,炸里脊肉
M0292,寿司达人,涟源市,107,4.4,商务聚餐,09:30-22:30,石锅拌饭
M0293,烤肉王,新化县,52,4.5,夜宵,19:00-00:00,鸳鸯火锅
M0294,粥品小馆,娄星区,12,4.2,学生早餐,06:30-10:30,皮蛋瘦肉粥
M0295,海味园,冷水江市,80,4.4,学生早餐,06:30-10:30,椒盐虾
M0296,新化小馆,娄星区,47,4.7,工作日午餐,11:30-15:00,向东街米粉
M0297,娄底海鲜王,涟源市,80,3.5,户外用餐,10:00-22:00,清蒸鱼
M0298,咖啡达人,冷水江市,55,3.5,工作日早餐,06:30-10:30,美式咖啡
M0299,新化菜馆,娄星区,53,4.4,工作日午餐,12:00-14:30,糁子粑
M0300,泰式风情,冷水江市,53,4.5,朋友聚会,10:30-21:30,咖喱鸡
M0301,煌上煌,新化县,40,4.3,学生午餐,11:30-15:00,炸鸡
M0302,糖衣炮弹,双峰县,28,4.6,外卖,10:00-22:00,蛋糕
M0303,浪漫时光,新化县,64,4.5,工作日早餐,07:00-11:00,牛排
M0304,咖啡之家,双峰县,80,4.4,工作日晚餐,17:30-22:30,蛋糕
M0305,串说人生,娄星区,55,3.8,夜宵,18:00-02:00,炸里脊肉
M0306,粥香园,娄星区,12,4.2,学生早餐,06:30-10:30,小米粥
M0307,粥香源,娄星区,12,4.2,学生早餐,06:30-10:30,南瓜粥
M0308,麦当劳,新化县,40,4.3,周末晚餐,18:00-23:00,汉堡
M0309,娄底老小吃,娄星区,15,4.1,学生用餐,10:00-22:00,糖油粑粑
M0310,南洋小馆,涟源市,50,3.9,周末早餐,07:00-11:00,菠萝饭
M0311,甜品园,双峰县,50,4.6,学生夜宵,19:00-00:00,奶茶
M0312,湘味轩,双峰县,64,3.5,亲子聚餐,09:30-22:30,小炒黄牛肉
M0313,老娄底粉店,新化县,16,4.2,学生早餐,07:00-11:00,牛肉粉
M0314,糖衣小栈,冷水江市,50,4.4,外卖,10:30-21:30,糖水
M0315,火锅小栈,新化县,70,4.6,周末聚餐,09:30-22:30,麻辣火锅
M0316,娄底粉王,娄星区,25,3.8,工作日早餐,07:00-11:00,牛肉粉
M0317,海鲜达人馆,新化县,80,4.6,情侣约会,10:00-22:00,蒜蓉粉丝扇贝
M0318,海鲜小栈,冷水江市,83,4.6,商务聚餐,10:30-21:30,鲍鱼
M0319,烟火烧烤王,双峰县,99,4.5,节日聚餐,18:00-01:00,烤牛肉串
M0320,甜在心,涟源市,50,4.0,商务宴请,10:00-22:00,冰淇淋
M0321,家常便饭,涟源市,30,3.9,家庭聚餐,10:30-21:30,炒饭
M0322,成都小吃,新化县,40,4.3,商务宴请,10:00-22:00,炸鸡
M0323,食尚小铺,双峰县,30,4.6,户外用餐,10:00-22:00,汤
