behavior_id,user_id,merchant_id,merchant_area,merchant_avg_price,merchant_score,merchant_scene,behavior_type,behavior_time,amount,rating,review_content
B00023,U0003,M0449,新化县,40,4.2,亲子聚餐,浏览,2025-12-21 04:48:15,,,
B00024,U0003,M0114,新化县,30,3.9,家庭聚餐,浏览,2025-11-12 00:18:15,,,
B00025,U0003,M0427,新化县,30,4.4,学生夜宵,浏览,2026-01-26 19:45:15,,,
B00026,U0003,M0279,新化县,89,4.3,下午茶,下单,2025-11-26 10:27:15,73.58,,
B00027,U0003,M0054,新化县,50,3.8,周末午餐,收藏,2026-01-03 16:09:15,,,
B00028,U0003,M0497,新化县,62,4.6,亲子聚餐,收藏,2025-11-15 04:13:15,,,
B00029,U0003,M0466,新化县,50,4.6,工作日午餐,浏览,2025-12-27 03:05:15,,,
B00030,U0003,M0139,新化县,50,4.2,夜宵,下单,2025-11-23 06:46:15,44.19,,
B00031,U0004,M0499,双峰县,35,4.5,家庭聚餐,评价,2025-12-04 09:03:15,,4.5,分量足 价格实惠
B00032,U0004,M0069,双峰县,15,4.8,工作日午餐,浏览,2025-12-26 11:02:15,,,
B00033,U0004,M0381,双峰县,29,4.4,学生用餐,评价,2025-12-16 10:36:15,,4.1,服务态度好 分量足
B00034,U0004,M0442,双峰县,50,3.8,夜宵,收藏,2025-12-18 01:03:15,,,
B00035,U0004,M0489,双峰县,35,4.6,工作日午餐,收藏,2025-12-28 21:27:15,,,
B00036,U0004,M0490,双峰县,48,3.9,周末聚餐,浏览,2025-11-19 13:18:15,,,
B00037,U0004,M0405,双峰县,37,3.7,学生用餐,收藏,2025-12-06 17:57:15,,,
B00038,U0004,M0274,双峰县,71,4.4,学生夜宵,评价,2025-11-18 03:02:15,,4.1,服务态度好
B00039,U0005,M0054,新化县,50,3.8,周末午餐,浏览,2025-12-20 14:35:15,,,
B00040,U0005,M0308,新化县,40,4.3,周末晚餐,评价,2025-12-08 00:38:15,,4.1,值得推荐 服务态度好
B00041,U0005,M0133,新化县,60,4.8,商务宴请,浏览,2026-01-15 10:15:15,,,
B00042,U0005,M0427,新化县,30,4.4,学生夜宵,评价,2025-11-23 03:21:15,,4.2,价格实惠
B00043,U0005,M0075,新化县,70,4.4,情侣约会,收藏,2025-11-04 23:52:15,,,
B00044,U0005,M0484,新化县,35,4.4,学生午餐,收藏,2026-01-12 07:05:15,,,
B00045,U0005,M0475,新化县,20,3.7,工作日早餐,评价,2026-01-28 16:17:15,,3.6,性价比高 环境干净
B00046,U0005,M0033,新化县,20,4.7,外卖,下单,2026-01-19 11:41:15,22.45,,
B00047,U0005,M0343,新化县,39,4.6,周末聚餐,评价,2026-01-16 02:09:15,,5.0,服务态度好 分量足 味道不错
B00048,U0005,M0280,新化县,22,4.3,学生早餐,下单,2025-12-05 21:47:15,23.11,,
B00049,U0005,M0233,新化县,44,3.8,工作日午餐,浏览,2025-11-12 05:57:15,,,
B00050,U0005,M0016,新化县,71,4.5,周末聚餐,收藏,2026-01-24 04:43:15,,,
B00051,U0006,M0434,双峰县,60,4.3,户外用餐,收藏,2026-01-26 19:09:15,,,
B00052,U0006,M0136,双峰县,15,3.8,学生用餐,收藏,2025-12-28 15:05:15,,,
B00053,U0006,M0445,双峰县,70,4.4,商务聚餐,下单,2026-01-20 00:35:15,83.39,,
B00054,U0006,M0402,双峰县,30,3.8,情侣约会,收藏,2026-01-08 08:43:15,,,
B00055,U0006,M0337,双峰县,60,3.9,亲子聚餐,浏览,2026-01-30 07:07:15,,,
B00056,U0006,M0410,双峰县,60,4.2,工作日午餐,下单,2025-11-03 12:44:15,62.33,,
B00057,U0006,M0416,双峰县,50,3.9,学生早餐,收藏,2025-11-09 21:13:15,,,
B00058,U0006,M0035,双峰县,56,3.6,周末聚餐,收藏,2025-11-22 23:26:15,,,
B00059,U0006,M0249,双峰县,60,4.5,学生晚餐,浏览,2025-12-01 02:38:15,,,
B00060,U0007,M0330,冷水江市,52,4.7,工作日午餐,浏览,2026-01-03 12:47:15,,,
B00061,U0007,M0463,冷水江市,30,3.5,家庭聚餐,浏览,2025-12-23 03:06:15,,,
B00062,U0007,M0065,冷水江市,54,3.5,学生夜宵,浏览,2026-01-21 01:34:15,,,
B00063,U0007,M0198,冷水江市,82,4.4,工作日午餐,浏览,2026-01-06 12:21:15,,,
B00064,U0007,M0478,冷水江市,80,4.5,周末晚餐,浏览,2025-12-24 18:48:15,,,
B00065,U0007,M0268,冷水江市,53,4.3,学生夜宵,下单,2025-11-14 01:33:15,45.63,,
B00066,U0007,M0335,冷水江市,35,4.8,学生午餐,下单,2025-12-14 11:32:15,34.27,,
B00067,U0007,M0345,冷水江市,75,4.3,周末早餐,收藏,2026-01-20 04:06:15,,,
B00068,U0007,M0366,冷水江市,30,4.3,夜宵,下单,2025-11-23 11:36:15,27.71,,
B00069,U0007,M0490,冷水江市,35,4.2,亲子聚餐,浏览,2025-12-24 00:57:15,,,
B00070,U0007,M0195,冷水江市,60,3.9,户外用餐,收藏,2025-11-11 19:00:15,,,
B00071,U0007,M0479,冷水江市,39,4.3,学生夜宵,收藏,2025-11-10 08:01:15,,,
B00072,U0008,M0035,双峰县,56,3.6,周末聚餐,收藏,2026-01-26 22:35:15,,,
B00073,U0008,M0021,双峰县,50,4.4,夜宵,收藏,2025-12-15 05:20:15,,,
B00074,U0008,M0177,双峰县,48,4.2,学生夜宵,收藏,2025-12-27 20:08:15,,,
B00075,U0008,M0021,双峰县,50,4.4,夜宵,浏览,2025-12-13 19:24:15,,,
B00076,U0008,M0007,双峰县,35,4.4,工作日午餐,浏览,2026-01-29 02:20:15,,,
B00077,U0008,M0323,双峰县,30,4.6,户外用餐,下单,2025-11-07 14:40:15,24.57,,
B00078,U0008,M0185,双峰县,60,4.2,下午茶,下单,2026-01-27 05:25:15,52.49,,
B00079,U0008,M0431,双峰县,34,3.8,商务宴请,评价,2026-01-10 07:06:15,,4.0,服务态度好 菜品新鲜
B00080,U0008,M0112,双峰县,66,4.6,周末午餐,浏览,2025-12-03 19:57:15,,,
B00081,U0008,M0026,双峰县,20,4.5,午餐,浏览,2025-11-09 11:12:15,,,
B00082,U0008,M0326,双峰县,35,4.7,周末午餐,收藏,2025-11-07 20:53:15,,,
B00083,U0008,M0112,双峰县,87,4.4,学生夜宵,浏览,2026-01-23 12:15:15,,,
B00084,U0009,M0051,冷水江市,35,3.6,工作日晚餐,下单,2026-01-31 20:39:15,38.67,,
B00085,U0009,M0365,冷水江市,35,4.4,学生夜宵,评价,2026-01-27 12:43:15,,4.9,菜品新鲜 值得推荐
B00086,U0009,M0226,冷水江市,101,4.5,商务聚餐,下单,2025-12-16 23:21:15,85.21,,
B00087,U0009,M0182,冷水江市,62,4.4,周末午餐,收藏,2026-01-23 22:24:15,,,
B00088,U0009,M0481,冷水江市,82,4.4,商务聚餐,浏览,2025-11-21 20:55:15,,,
B00089,U0009,M0470,冷水江市,58,3.9,商务聚餐,浏览,2026-01-25 16:05:15,,,
B00090,U0009,M0204,冷水江市,28,4.5,夜宵,收藏,2025-12-03 06:17:15,,,
B00091,U0009,M0314,冷水江市,50,4.4,外卖,下单,2026-01-11 03:29:15,44.56,,
B00092,U0009,M0463,冷水江市,30,3.5,家庭聚餐,下单,2025-11-27 00:22:15,35.01,,
B00093,U0009,M0489,冷水江市,35,4.6,周末早餐,下单,2026-01-18 20:59:15,40.64,,
B00094,U0009,M0490,冷水江市,35,4.2,亲子聚餐,收藏,2025-12-09 08:27:15,,,
B00095,U0009,M0198,冷水江市,82,4.4,工作日午餐,浏览,2025-12-27 16:08:15,,,
B00096,U0009,M0005,冷水江市,30,4.1,学生午餐,下单,2025-11-05 01:51:15,30.22,,
B00097,U0009,M0353,冷水江市,60,4.8,下午茶,下单,2026-01-17 07:38:15,70.59,,
B00098,U0009,M0010,冷水江市,13,4.4,学生晚餐,浏览,2026-01-05 21:24:15,,,
B00099,U0010,M0019,涟源市,54,3.8,周末聚餐,下单,2025-11-29 06:00:15,47.56,,
B00100,U0010,M0426,涟源市,43,4.4,亲子聚餐,评价,2025-11-28 17:24:15,,4.3,分量足
B00101,U0010,M0426,涟源市,43,4.4,亲子聚餐,浏览,2025-11-27 14:03:15,,,
B00102,U0010,M0041,涟源市,34,4.2,甜品,浏览,2026-01-31 12:49:15,,,
B00103,U0010,M0247,涟源市,35,4.4,学生午餐,下单,2025-11-12 00:20:15,31.58,,
B00104,U0010,M0363,涟源市,40,3.5,工作日早餐,下单,2025-12-18 05:55:15,41.74,,
B00105,U0010,M0297,涟源市,80,3.5,户外用餐,浏览,2026-01-26 04:46:15,,,
B00106,U0010,M0247,涟源市,35,4.4,学生午餐,浏览,2026-01-15 13:05:15,,,
B00107,U0011,M0490,双峰县,48,3.9,周末聚餐,收藏,2025-11-07 18:35:15,,,
B00108,U0011,M0397,双峰县,114,4.6,学生晚餐,收藏,2025-11-08 15:40:15,,,
B00109,U0011,M0136,双峰县,15,3.8,学生用餐,浏览,2025-12-13 20:59:15,,,
B00110,U0011,M0158,双峰县,100,4.5,学生午餐,下单,2025-11-06 10:20:15,116.02,,
B00111,U0011,M0499,双峰县,35,4.5,家庭聚餐,收藏,2025-11-30 21:52:15,,,
B00112,U0011,M0035,双峰县,56,3.6,周末聚餐,收藏,2025-12-26 23:30:15,,,
B00113,U0011,M0431,双峰县,34,3.8,商务宴请,下单,2026-01-12 23:31:15,33.69,,
B00114,U0011,M0148,双峰县,54,3.9,商务宴请,收藏,2026-01-07 12:16:15,,,
B00115,U0011,M0057,双峰县,12,4.4,小吃,浏览,2026-01-14 10:59:15,,,
B00116,U0011,M0234,双峰县,48,3.8,学生用餐,下单,2026-01-14 09:21:15,44.83,,
B00117,U0011,M0057,双峰县,12,4.4,小吃,浏览,2025-11-05 12:14:15,,,
B00118,U0011,M0021,双峰县,50,4.4,夜宵,浏览,2025-11-21 17:27:15,,,
B00119,U0011,M0470,双峰县,59,4.4,学生用餐,评价,2026-01-08 10:50:15,,4.6,环境干净 服务态度好
B00120,U0011,M0431,双峰县,34,3.8,商务宴请,浏览,2026-01-23 12:52:15,,,
B00121,U0012,M0082,新化县,30,3.9,周末午餐,浏览,2025-12-11 06:14:15,,,
B00122,U0012,M0329,新化县,69,4.7,周末聚餐,下单,2026-01-28 01:11:15,71.85,,
B00123,U0012,M0475,新化县,20,3.7,工作日早餐,下单,2025-12-21 05:10:15,21.3,,
B00124,U0012,M0368,新化县,59,4.4,工作日午餐,下单,2025-12-25 03:00:15,59.55,,
B00125,U0012,M0394,新化县,80,4.6,夜宵,下单,2026-01-29 09:28:15,85.8,,
B00126,U0012,M0085,新化县,79,4.4,夜宵,下单,2025-12-01 23:37:15,92.17,,
B00127,U0012,M0343,新化县,39,4.6,周末聚餐,浏览,2026-01-02 20:41:15,,,
B00128,U0012,M0222,新化县,70,4.7,外卖,收藏,2025-12-29 01:26:15,,,
B00129,U0012,M0497,新化县,62,4.6,亲子聚餐,收藏,2025-12-09 18:26:15,,,
B00130,U0013,M0044,新化县,25,4.2,工作日午餐,下单,2025-12-04 06:00:15,24.78,,
B00131,U0013,M0398,新化县,50,4.5,周末聚餐,浏览,2025-11-21 02:46:15,,,
B00132,U0013,M0266,新化县,143,4.5,周末聚餐,浏览,2025-11-16 03:19:15,,,
B00133,U0013,M0222,新化县,70,4.7,外卖,收藏,2025-11-28 23:06:15,,,
B00134,U0013,M0398,新化县,50,4.5,周末聚餐,浏览,2025-11-03 21:44:15,,,
B00135,U0013,M0379,新化县,19,3.8,工作日早餐,下单,2026-01-28 17:22:15,22.06,,
B00136,U0013,M0379,新化县,19,3.8,工作日早餐,浏览,2025-12-20 12:25:15,,,
B00137,U0013,M0138,新化县,60,4.7,学生晚餐,浏览,2025-12-18 13:17:15,,,
B00138,U0013,M0415,新化县,50,3.8,周末聚餐,浏览,2025-12-18 21:11:15,,,
B00139,U0014,M0037,新化县,71,4.4,周末聚餐,评价,2026-01-23 11:12:15,,4.8,味道不错
B00140,U0014,M0469,新化县,33,3.7,下午茶,下单,2026-01-19 05:55:15,31.4,,
B00141,U0014,M0378,新化县,30,4.4,下午茶,下单,2025-12-08 03:41:15,28.59,,
B00142,U0014,M0424,新化县,79,4.1,家庭聚餐,收藏,2026-01-09 03:30:15,,,
B00143,U0014,M0355,新化县,94,4.8,户外用餐,浏览,2025-12-15 10:38:15,,,
B00144,U0014,M0237,新化县,75,4.3,早餐,收藏,2025-12-10 05:56:15,,,
B00145,U0014,M0293,新化县,52,4.5,夜宵,浏览,2025-11-17 22:05:15,,,
B00146,U0014,M0475,新化县,20,3.7,工作日早餐,收藏,2025-11-29 18:02:15,,,
B00147,U0014,M0075,新化县,70,4.4,情侣约会,浏览,2026-01-30 12:09:15,,,
B00148,U0014,M0190,新化县,99,4.4,外卖,浏览,2025-11-13 02:42:15,,,
B00149,U0015,M0368,新化县,59,4.4,工作日午餐,浏览,2025-11-29 08:30:15,,,
B00150,U0015,M0475,新化县,20,3.7,工作日早餐,下单,2025-11-03 08:44:15,17.11,,
B00151,U0015,M0075,新化县,70,4.4,情侣约会,浏览,2025-11-15 23:14:15,,,
B00152,U0015,M0133,新化县,60,4.8,商务宴请,下单,2026-01-16 20:44:15,53.74,,
B00153,U0015,M0476,新化县,69,4.0,户外用餐,收藏,2026-01-03 16:14:15,,,
B00154,U0015,M0159,新化县,60,4.3,学生夜宵,浏览,2025-11-14 10:24:15,,,
B00155,U0015,M0277,新化县,60,3.8,夜宵,浏览,2025-11-06 02:11:15,,,
B00156,U0015,M0495,新化县,80,4.6,外卖,收藏,2025-12-16 06:10:15,,,
B00157,U0015,M0235,新化县,59,4.4,早餐,收藏,2026-01-08 21:21:15,,,
B00158,U0015,M0154,新化县,50,4.0,工作日晚餐,浏览,2025-11-28 09:14:15,,,
B00159,U0015,M0401,新化县,48,3.9,学生夜宵,下单,2026-01-11 22:59:15,49.81,,
B00160,U0016,M0277,新化县,60,3.8,夜宵,浏览,2025-12-13 03:58:15,,,
B00161,U0016,M0494,新化县,30,4.2,商务宴请,浏览,2025-11-27 22:10:15,,,
B00162,U0016,M0325,新化县,50,3.9,周末聚餐,评价,2025-12-31 05:44:15,,4.1,价格实惠
B00163,U0016,M0258,新化县,79,4.4,工作日早餐,收藏,2025-12-05 06:39:15,,,
B00164,U0016,M0130,新化县,78,4.6,学生晚餐,收藏,2025-12-11 08:36:15,,,
B00165,U0016,M0149,新化县,60,3.9,学生早餐,收藏,2025-12-12 17:31:15,,,
B00166,U0016,M0368,新化县,59,4.4,工作日午餐,下单,2026-01-18 15:11:15,49.73,,
B00167,U0016,M0222,新化县,70,4.7,外卖,浏览,2025-12-02 19:29:15,,,
B00168,U0016,M0427,新化县,30,4.4,学生夜宵,浏览,2025-12-02 20:19:15,,,
B00169,U0016,M0481,新化县,35,4.3,户外用餐,浏览,2025-12-14 17:04:15,,,
B00170,U0016,M0112,新化县,79,4.3,夜宵,下单,2025-11-24 16:03:15,74.61,,
B00171,U0016,M0343,新化县,39,4.6,周末聚餐,下单,2025-11-17 19:13:15,39.46,,
B00172,U0016,M0187,新化县,56,3.9,朋友聚会,浏览,2026-01-29 12:55:15,,,
B00173,U0016,M0236,新化县,50,3.8,夜宵,下单,2025-12-07 14:33:15,59.31,,
B00174,U0017,M0035,双峰县,56,3.6,周末聚餐,收藏,2025-11-21 02:21:15,,,
B00175,U0017,M0460,双峰县,50,4.5,商务宴请,下单,2025-12-15 16:42:15,40.65,,
B00176,U0017,M0461,双峰县,46,4.8,周末午餐,收藏,2026-01-04 01:12:15,,,
B00177,U0017,M0045,双峰县,44,3.9,甜品,下单,2025-11-06 16:26:15,36.24,,
B00178,U0017,M0225,双峰县,20,4.6,学生用餐,收藏,2025-12-21 19:26:15,,,
B00179,U0017,M0458,双峰县,35,4.4,工作日午餐,浏览,2025-12-29 02:00:15,,,
B00180,U0017,M0234,双峰县,48,3.8,学生用餐,下单,2025-11-09 12:24:15,50.95,,
B00181,U0017,M0402,双峰县,30,3.8,情侣约会,下单,2026-01-05 03:48:15,28.37,,
B00182,U0017,M0057,双峰县,15,4.8,学生用餐,下单,2025-12-31 00:47:15,17.6,,
B00183,U0017,M0205,双峰县,59,4.4,朋友聚会,下单,2025-11-07 03:31:15,64.54,,
B00184,U0017,M0499,双峰县,35,4.5,家庭聚餐,收藏,2025-12-15 21:38:15,,,
B00185,U0017,M0304,双峰县,80,4.4,工作日晚餐,浏览,2026-01-22 07:59:15,,,
B00186,U0017,M0131,双峰县,53,4.0,下午茶,浏览,2025-11-30 13:05:15,,,
B00187,U0017,M0477,双峰县,35,3.7,周末晚餐,浏览,2025-11-26 23:16:15,,,
B00188,U0018,M0439,冷水江市,141,4.6,节日聚餐,下单,2025-12-01 14:35:15,144.37,,
B00189,U0018,M0414,冷水江市,57,4.4,节日聚餐,浏览,2025-12-19 10:54:15,,,
B00190,U0018,M0456,冷水江市,30,4.5,商务聚餐,下单,2025-12-03 20:54:15,25.68,,
B00191,U0018,M0481,冷水江市,82,4.4,商务聚餐,下单,2025-11-26 01:58:15,90.01,,
B00192,U0018,M0463,冷水江市,30,3.5,家庭聚餐,下单,2025-11-29 17:04:15,32.83,,
B00193,U0018,M0182,冷水江市,62,4.4,周末午餐,浏览,2026-01-20 17:01:15,,,
B00194,U0018,M0422,冷水江市,63,4.4,周末午餐,下单,2026-01-23 23:54:15,67.6,,
B00195,U0018,M0226,冷水江市,101,4.5,商务聚餐,下单,2026-01-08 17:11:15,104.42,,
B00196,U0018,M0147,冷水江市,35,4.8,周末晚餐,评价,2025-12-10 07:02:15,,4.4,性价比高 值得推荐 服务态度好
B00197,U0018,M0065,冷水江市,54,3.5,学生夜宵,评价,2025-11-26 13:02:15,,3.8,环境干净
B00198,U0018,M0456,冷水江市,30,4.5,商务聚餐,下单,2025-11-29 15:15:15,25.34,,
B00199,U0018,M0051,冷水江市,35,3.6,工作日晚餐,下单,2026-01-04 10:18:15,30.04,,
B00200,U0018,M0414,冷水江市,57,4.4,节日聚餐,浏览,2025-11-10 21:10:15,,,
B00201,U0018,M0470,冷水江市,58,3.9,商务聚餐,收藏,2025-12-06 10:15:15,,,
B00202,U0018,M0486,冷水江市,34,4.0,家庭聚餐,浏览,2025-11-15 17:50:15,,,
B00203,U0019,M0458,双峰县,35,4.4,工作日午餐,评价,2025-12-01 19:29:15,,3.9,值得推荐 性价比高 环境干净
B00204,U0019,M0124,双峰县,45,3.5,商务聚餐,浏览,2025-11-11 16:26:15,,,
B00205,U0019,M0434,双峰县,60,4.3,户外用餐,浏览,2026-01-09 12:10:15,,,
B00206,U0019,M0188,双峰县,40,3.7,学生早餐,浏览,2025-11-10 07:38:15,,,
B00207,U0019,M0148,双峰县,54,3.9,商务宴请,下单,2025-12-15 10:25:15,46.86,,
B00208,U0019,M0074,双峰县,97,4.7,商务聚餐,浏览,2026-01-23 19:42:15,,,
B00209,U0019,M0431,双峰县,34,3.8,商务宴请,收藏,2026-01-18 15:32:15,,,
B00210,U0019,M0217,双峰县,48,4.7,夜宵,下单,2025-11-29 06:14:15,55.6,,
B00211,U0020,M0037,新化县,71,4.4,周末聚餐,收藏,2025-12-30 21:26:15,,,
B00212,U0020,M0144,新化县,40,4.3,周末早餐,浏览,2025-12-29 09:05:15,,,
B00213,U0020,M0280,新化县,22,4.3,学生早餐,收藏,2026-01-01 06:59:15,,,
B00214,U0020,M0018,新化县,57,4.2,周末聚餐,下单,2026-01-24 07:51:15,54.92,,
B00215,U0020,M0368,新化县,59,4.4,工作日午餐,下单,2025-11-05 21:39:15,64.15,,
B00216,U0020,M0427,新化县,30,4.4,学生夜宵,浏览,2025-12-29 13:34:15,,,
B00217,U0020,M0231,新化县,35,4.1,夜宵,下单,2026-01-25 13:49:15,39.11,,
B00218,U0020,M0154,新化县,50,4.0,工作日晚餐,下单,2025-11-05 10:01:15,57.89,,
B00219,U0020,M0160,新化县,68,4.5,夜宵,浏览,2025-12-28 16:28:15,,,
B00220,U0021,M0098,涟源市,51,3.5,情侣约会,评价,2025-11-25 14:07:15,,3.9,性价比高 服务态度好 值得推荐
B00221,U0021,M0389,涟源市,30,4.4,学生午餐,浏览,2026-01-11 23:55:15,,,
B00222,U0021,M0183,涟源市,54,4.4,朋友聚会,浏览,2026-01-25 13:28:15,,,
B00223,U0021,M0400,涟源市,60,4.7,朋友聚会,浏览,2025-11-15 13:26:15,,,
B00224,U0021,M0400,涟源市,60,4.7,朋友聚会,浏览,2025-12-02 08:57:15,,,
B00225,U0021,M0098,涟源市,51,3.5,情侣约会,浏览,2026-01-09 11:34:15,,,
B00226,U0021,M0243,涟源市,50,4.4,亲子聚餐,浏览,2025-12-08 05:05:15,,,
B00227,U0021,M0120,涟源市,50,3.9,家庭聚餐,下单,2025-11-07 23:34:15,52.54,,
B00228,U0021,M0423,涟源市,35,4.8,周末早餐,下单,2025-11-07 00:32:15,28.63,,
B00229,U0022,M0186,双峰县,50,3.5,朋友聚会,下单,2025-11-12 18:36:15,43.63,,
B00230,U0022,M0489,双峰县,35,4.6,工作日午餐,下单,2025-12-25 14:54:15,33.93,,
B00231,U0022,M0158,双峰县,100,4.5,学生午餐,评价,2025-12-16 18:13:15,,4.6,味道不错 值得推荐
B00232,U0022,M0489,双峰县,35,4.6,工作日午餐,收藏,2025-11-25 17:54:15,,,
B00233,U0022,M0112,双峰县,87,4.4,学生夜宵,浏览,2026-01-14 10:40:15,,,
B00234,U0022,M0134,双峰县,60,4.6,工作日晚餐,下单,2026-01-28 19:36:15,61.09,,
B00235,U0022,M0056,双峰县,18,4.4,学生用餐,下单,2025-12-12 10:59:15,16.99,,
B00236,U0022,M0416,双峰县,50,3.9,学生早餐,下单,2025-12-22 02:06:15,48.54,,
B00237,U0022,M0177,双峰县,48,4.2,学生夜宵,收藏,2025-12-11 08:36:15,,,
B00238,U0022,M0056,双峰县,18,4.4,学生用餐,收藏,2026-01-24 15:04:15,,,
B00239,U0023,M0112,双峰县,87,4.4,学生夜宵,浏览,2025-12-13 19:08:15,,,
B00240,U0023,M0007,双峰县,24,4.6,学生午餐,下单,2026-01-26 13:49:15,23.89,,
B00241,U0023,M0007,双峰县,24,4.6,学生午餐,浏览,2025-12-20 19:40:15,,,
B00242,U0023,M0136,双峰县,15,3.8,学生用餐,下单,2025-12-27 22:59:15,12.02,,
B00243,U0023,M0493,双峰县,57,3.9,学生早餐,浏览,2026-01-19 22:47:15,,,
B00244,U0023,M0247,双峰县,59,4.1,亲子聚餐,下单,2025-12-25 15:00:15,63.28,,
B00245,U0023,M0278,双峰县,45,4.6,工作日早餐,浏览,2026-01-09 23:17:15,,,
B00246,U0023,M0103,双峰县,100,4.4,节日聚餐,下单,2025-12-23 00:27:15,109.03,,
B00247,U0023,M0057,双峰县,15,4.8,学生用餐,浏览,2025-12-13 15:47:15,,,
B00248,U0023,M0402,双峰县,30,3.8,情侣约会,浏览,2025-11-06 11:40:15,,,
B00249,U0023,M0217,双峰县,48,4.7,夜宵,下单,2026-01-26 16:39:15,42.87,,
B00250,U0024,M0025,娄星区,12,3.9,小吃,浏览,2025-11-06 04:02:15,,,
B00251,U0024,M0058,娄星区,22,4.7,情侣约会,收藏,2025-11-22 09:04:15,,,
B00252,U0024,M0385,娄星区,65,4.3,学生用餐,下单,2025-11-11 21:35:15,60.75,,
B00253,U0024,M0088,娄星区,30,3.9,家庭聚餐,收藏,2026-01-25 16:43:15,,,
B00254,U0024,M0372,娄星区,20,4.6,工作日早餐,下单,2025-12-29 13:09:15,18.06,,
B00255,U0024,M0332,娄星区,60,4.1,亲子聚餐,收藏,2025-11-25 02:02:15,,,
B00256,U0024,M0078,娄星区,50,3.9,学生夜宵,浏览,2025-11-07 08:08:15,,,
B00257,U0024,M0388,娄星区,62,3.9,下午茶,浏览,2025-12-14 18:06:15,,,
B00258,U0024,M0150,娄星区,15,4.7,工作日早餐,浏览,2026-01-16 09:10:15,,,
B00259,U0024,M0123,娄星区,40,4.6,学生早餐,收藏,2026-01-04 01:11:15,,,
B00260,U0024,M0053,娄星区,21,4.6,工作日午餐,下单,2025-11-04 08:37:15,24.91,,
B00261,U0024,M0207,娄星区,60,4.0,学生早餐,下单,2025-11-05 06:32:15,54.78,,
B00262,U0024,M0128,娄星区,15,3.6,工作日早餐,下单,2025-12-11 15:45:15,12.96,,
B00263,U0024,M0283,娄星区,15,4.6,工作日早餐,下单,2026-01-18 12:57:15,16.99,,
B00264,U0024,M0105,娄星区,15,4.1,学生用餐,收藏,2025-12-02 11:15:15,,,
B00265,U0025,M0401,新化县,48,3.9,学生夜宵,下单,2025-11-04 23:13:15,57.34,,
B00266,U0025,M0427,新化县,30,4.4,学生夜宵,浏览,2025-12-04 22:43:15,,,
B00267,U0025,M0484,新化县,35,4.4,学生午餐,下单,2025-11-13 04:40:15,32.47,,
B00268,U0025,M0272,新化县,35,4.2,商务宴请,收藏,2025-11-05 22:34:15,,,
B00269,U0025,M0237,新化县,61,4.4,早餐,浏览,2026-01-06 20:43:15,,,
B00270,U0025,M0339,新化县,50,3.7,周末聚餐,浏览,2025-11-06 10:02:15,,,
B00271,U0025,M0497,新化县,62,4.6,亲子聚餐,评价,2025-11-04 06:20:15,,4.6,值得推荐 环境干净
B00272,U0025,M0353,新化县,70,4.6,周末聚餐,下单,2025-12-08 12:27:15,64.54,,
B00273,U0025,M0054,新化县,50,3.8,周末午餐,下单,2025-11-18 11:50:15,56.8,,
